kind,path,dataset,method,budget,seed,learner,accuracy,auroc,backend,log_loss,train_rows,train_seconds
downstream,adult\distribution_matching\budget_50\seed_0\lightgbm\metrics.json,adult,distribution_matching,budget_50,seed_0,lightgbm,0.75275,0.7494009940528445,lightgbm,0.536761013881136,100,0.02642569999989064
downstream,adult\distribution_matching\budget_50\seed_0\mlp\metrics.json,adult,distribution_matching,budget_50,seed_0,mlp,0.76775,0.5074388947927737,sklearn_mlp,3.204586697724298,100,0.025455900000451948
downstream,adult\distribution_matching\budget_50\seed_0\random_forest\metrics.json,adult,distribution_matching,budget_50,seed_0,random_forest,0.7505,0.857851207513308,sklearn_random_forest,0.5247590987805242,100,0.6363911999997072
downstream,adult\distribution_matching\budget_50\seed_0\xgboost\metrics.json,adult,distribution_matching,budget_50,seed_0,xgboost,0.7515,0.8496869397075371,xgboost,0.5355658325511443,100,0.03755799999998999
downstream,adult\distribution_matching\budget_50\seed_1\catboost\metrics.json,adult,distribution_matching,budget_50,seed_1,catboost,0.76225,0.7400484415770748,sklearn_hist_gradient_boosting,0.6289337766645863,100,0.29413190000013856
downstream,adult\distribution_matching\budget_50\seed_1\lightgbm\metrics.json,adult,distribution_matching,budget_50,seed_1,lightgbm,0.77075,0.724569127388077,lightgbm,0.5513661386854107,100,0.03343549999954121
downstream,adult\distribution_matching\budget_50\seed_1\mlp\metrics.json,adult,distribution_matching,budget_50,seed_1,mlp,0.23475,0.4989373007438895,sklearn_mlp,10.572313098496034,100,0.042790799999238516
downstream,adult\distribution_matching\budget_50\seed_1\random_forest\metrics.json,adult,distribution_matching,budget_50,seed_1,random_forest,0.781,0.8411066593619845,sklearn_random_forest,0.4490091681749987,100,0.5373472999999649
downstream,adult\distribution_matching\budget_50\seed_1\xgboost\metrics.json,adult,distribution_matching,budget_50,seed_1,xgboost,0.72575,0.8368980715430401,xgboost,0.5900927287912766,100,0.04184590000022581
downstream,adult\distribution_matching\budget_50\seed_2\catboost\metrics.json,adult,distribution_matching,budget_50,seed_2,catboost,0.737,0.6741374644391787,sklearn_hist_gradient_boosting,0.9455270433484464,100,0.2884673999997176
downstream,adult\distribution_matching\budget_50\seed_2\lightgbm\metrics.json,adult,distribution_matching,budget_50,seed_2,lightgbm,0.76375,0.740958110750702,lightgbm,0.5372994721767798,100,0.023253899999872374
