budget,learner,ablation_full,ablation_no_child,ablation_no_entropy_anneal,ablation_no_gain,ablation_no_hist,ablation_no_margin,ablation_no_marginal,ablation_no_newton,ablation_no_pairwise,distribution_matching,full_data,gain_herding,gain_path_diverse,gain_path_dual,gain_path_herding,gain_path_prior_weighted,gain_path_refined,gain_path_refined_weighted,gain_path_safeguarded,gain_weighted_coreset,gaindistill,gaindistill_anchor,gaindistill_full,gaindistill_hybrid,gaindistill_path_hybrid,gradient_sampling,herding,k_center,math_full,math_no_anchor,math_no_hist,math_no_newton,math_no_probes,math_no_soft_routing,math_root_only,math_tuned,math_tuned_more_probes,math_tuned_no_anchor,math_tuned_no_hist,random,refined_no_conf,refined_no_gain_weight,refined_no_grad,refined_no_hess,refined_no_path,refined_no_raw,refined_no_refine,refined_path_occupancy_only,sketch_no_conf,sketch_no_gain_weight,sketch_no_grad,sketch_no_hess,sketch_no_raw,sketch_occupancy_only,tree_region
budget_25,catboost,,,,,,,,,,0.6956736491979031,0.8382905172507207,0.7195822569722048,0.8056577488649664,0.8130115409152171,0.7258906560325088,0.8336828207501447,0.7289445853971929,,0.7296218420840325,0.7180509676994588,0.5163877275577331,0.7868223279545304,0.7855601173636909,0.7180509676994588,0.7224592940246946,0.35689862298043773,0.6998720490343786,0.667373757503374,,,,,,,,,,,,0.6956682064545633,0.8292499409956677,0.8398664249131077,0.8277617611864282,0.8400847022935689,0.830041923611595,0.8323534882164785,0.832255518789839,0.8320974130682666,,,,,,,0.35689862298043773
budget_25,lightgbm,,,,,,,,,,0.6951775394523845,0.8220929515989865,0.7204013905076642,0.804789039993744,0.8153027051374837,0.7262660710041048,0.8307400677419888,0.7296342725504231,,0.7306120696378117,0.7156580958603657,0.49780912088273077,0.7895297048172479,0.7875822428280395,0.7156580958603657,0.7171419089886147,0.35034570226175127,0.7055432483889243,0.6697478804638978,,,,,,,,,,,,0.69773052471454,0.8265003359459363,0.8373192099378017,0.8266750687004967,0.8392469613731287,0.8245148622942078,0.826765749778067,0.8293079733074977,0.8315751472529317,,,,,,,0.35034570226175127
budget_25,mlp,,,,,,,,,,0.6217798093084764,0.7358673426966965,0.6590483458247316,0.6745653464786604,0.6696117825967368,0.6411104140695977,0.6385056898964172,0.6543033032089178,,0.646903004849637,0.6276770148841249,0.4937015899352055,0.613766420966504,0.6107588191330544,0.6276770148841249,0.6323302823884848,0.4199012869774347,0.6641813577013362,0.6194797749377017,,,,,,,,,,,,0.6383545407502418,0.6724426310926718,0.6764605408555655,0.6739010752249747,0.6667133743576337,0.66783791797092,0.6431775606761588,0.6425260673920653,0.6617901629297921,,,,,,,0.4199012869774347
budget_25,random_forest,,,,,,,,,,0.7319671646901,0.8338548217279734,0.7824016548430126,0.8763567231907216,0.8872852545905612,0.7835238491316132,0.8780441754696104,0.7854694274089595,,0.7835707622540691,0.7761821294848343,0.528344321669527,0.8577542772700294,0.8524535082313546,0.7761821294848343,0.7823001500326519,0.3245052889021409,0.7660547578524817,0.7175164937194118,,,,,,,,,,,,0.7471016404926945,0.8837432074587778,0.8829821581385625,0.8837308800211912,0.8827387456279221,0.878295464862729,0.8842876293097275,0.883098365885132,0.8846246712907981,,,,,,,0.3245052889021409
budget_25,xgboost,,,,,,,,,,0.7248779552332228,0.8292154144647168,0.7814355961713294,0.8542110640914571,0.8717945108434447,0.7848545227450978,0.8622183500585754,0.7853423096563872,,0.7863868426396097,0.7705231810171699,0.507388740354484,0.8608379504003989,0.8608578994467034,0.7705231810171699,0.7814930367109175,0.32488605562314193,0.7685727592189806,0.7132422065384993,,,,,,,,,,,,0.7433753949196226,0.8682514449158937,0.8705968528440582,0.8682518378250841,0.8721437085969348,0.8680166229465267,0.8740271864566889,0.8739083086354547,0.8718214024385409,,,,,,,0.32488605562314193
budget_50,catboost,0.4830594961510969,0.3964393741168884,0.49684511166747153,0.5153408373924846,0.5394370230281683,0.397096646588657,0.4276836437435061,0.5205518921276511,0.5868888007097597,0.7229867879327164,0.8382905172507207,0.7786245030665382,0.8512901076482063,0.8752252457566632,0.7726714461862783,0.8747283072755055,0.7766292981342542,0.8771579093945933,0.777126351504643,0.7750876768687969,0.5138752515442756,0.8599544366290157,0.8588404934112616,0.7750876768687969,0.7745401837788428,0.35998472038238816,0.7521083967891885,0.7229642779843262,0.8794067298502034,0.8792135367533338,0.8779171507511749,0.8792294551447208,0.8539737013914582,0.8586500138801252,0.8714881856544581,0.8689454066675263,0.8688164580871856,0.8697575607020164,0.8714682770940263,0.760799985127998,0.881347828580735,0.8785397568225672,0.8777440693399126,0.8800444967270916,0.8745717192367001,0.8791676069120442,0.8765545199771785,0.8756423104345483,0.9148685938782333,0.9159486521359211,0.9223645076561257,0.9117945864157665,0.9168887004824933,0.9143356515832298,0.35998472038238816
budget_50,lightgbm,0.5328213306644727,0.5282542547752278,0.5073118199150611,0.5139614526462387,0.5319996140505407,0.4413204230548261,0.4628356142170908,0.5723418952169327,0.6242028361015053,0.7245575965771084,0.8220929515989865,0.7774276579170478,0.8651034229565394,0.8735363904988407,0.7703625653882249,0.8777326004195475,0.7769674927543305,0.8821240352356415,0.776767544159076,0.7705674447825673,0.514737456602962,0.8563539950858116,0.8553871191311865,0.7705674447825673,0.771881807951543,0.3660816462472404,0.7575775145678028,0.7216859445212983,0.877926096468588,0.8775893354171678,0.8777451413176831,0.8752101998956585,0.8638758408451535,0.8635706982704984,0.8739870806108134,0.8617044156654794,0.8662851598431088,0.8626806607346169,0.8624978549305484,0.7601754801266412,0.8802166799633653,0.8820673825125536,0.8829755774497053,0.8787071904562952,0.8755759069250646,0.8743835044616651,0.8781225026633408,0.874665666650919,0.9149522888804711,0.9137379809571952,0.9218743278423098,0.9166566779396932,0.9186511361271152,0.9184846977499344,0.3660816462472404
budget_50,mlp,0.45279178270359743,0.4855108219966394,0.4384260231205209,0.46684355262848154,0.513947080796302,0.49172955222024584,0.47577226096650077,0.5628086179239125,0.5151240545808539,0.6348153357837856,0.7358673426966965,0.6731155955469166,0.6593907429562468,0.6355497182493275,0.6656976579818987,0.6682066226417933,0.6665452311234765,0.5946610138696532,0.6659265868604309,0.6475975889259781,0.47608358619939956,0.6460719778422034,0.6171458791123848,0.6475975889259781,0.6519747881782127,0.4299786490576691,0.6670745203437148,0.6408836965187488,0.6271051006645677,0.6376086472554567,0.6391426604624737,0.6486654331128687,0.6423956956665722,0.5667084855450348,0.5461327267678537,0.667879887911587,0.6743396973145972,0.694211286678406,0.6697347210499209,0.6545950239874748,0.6828827570548909,0.6931835067831651,0.6899990210128115,0.6838251877415406,0.6896810153978404,0.6809366663617111,0.6821410895164846,0.6859394914983938,0.7862513159333806,0.7985821954908768,0.8011758025013641,0.7874831225289629,0.8065404199730113,0.7818987235145762,0.4299786490576691
budget_50,random_forest,0.4829354370354202,0.5372977712408563,0.5264294979510663,0.5052093607181942,0.6267583482820677,0.5113284122912658,0.5533744708493105,0.5814156062979361,0.5382891570992177,0.7396820376856421,0.8338548217279734,0.7968038991391815,0.8897907545905793,0.8952771846034498,0.7985047107608363,0.8924789822446421,0.7970778722811336,0.889211953366571,0.7982338132877703,0.7936017512131901,0.5209368084952678,0.877987642527656,0.8760262437210827,0.7936017512131901,0.7955853338853718,0.3655999564214214,0.7782699222852051,0.7475228345508038,0.8926170548269536,0.891859914926203,0.8925695232159475,0.8912217783069167,0.8922790456940644,0.8928833454254086,0.8916357074552864,0.8883909003370415,0.8869690745969434,0.8885284044721751,0.8883990273552049,0.7784853381785386,0.8960400260263006,0.8960924481307384,0.8954635056338025,0.8929461417412337,0.8935058523786259,0.8967121920932793,0.8970216840376437,0.8933305968566988,0.928431617161453,0.9268793751645136,0.9307254982474833,0.9309658479375365,0.9293532550320162,0.9319066284403835,0.3655999564214214
budget_50,xgboost,0.4943180991515936,0.5120604569995634,0.4683745850652798,0.5075236378877567,0.4889748477240728,0.41929079593498153,0.45955660090164974,0.5369194894997518,0.5527388439794925,0.7360680004591387,0.8292154144647168,0.8012905555187934,0.8893407160528859,0.8922624968563047,0.8065129026937677,0.8842776368141951,0.8079153173207618,0.8901936396546296,0.8090076906315354,0.7955103000560523,0.5148096491383215,0.8806147027890646,0.8811691854174265,0.7955103000560523,0.793976077098207,0.35790128222744555,0.7795801649492478,0.7467472064589291,0.8951297185421669,0.8987428847475462,0.8982724320923081,0.8978126823294139,0.8896103689032052,0.8818598891525943,0.893779067674351,0.8822314539328717,0.8860944346510102,0.8831898227498471,0.8810899162445177,0.7840510774820094,0.8934265194516869,0.892429821506703,0.8919171596516416,0.8954589135500917,0.8880259008875112,0.8924952851132952,0.8936353196022784,0.8905324508739025,0.925343157704998,0.9248392472978162,0.9311472842200796,0.9284596842941835,0.9291556493862758,0.9290809231237926,0.35790128222744555
