kind,path,dataset,method,budget,seed,backend,gain_rank_correlation,root_agreement,top5_overlap,train_seconds
split_fidelity,adult\gain_path_herding\budget_10\seed_1\split_fidelity.json,adult,gain_path_herding,budget_10,seed_1,xgboost,0.4977511359488754,0.0,0.0,0.021307400002115173
split_fidelity,adult\gain_path_herding\budget_10\seed_2\split_fidelity.json,adult,gain_path_herding,budget_10,seed_2,xgboost,0.4482664077309638,0.0,0.6,0.02340349999940372
split_fidelity,adult\gain_path_herding\budget_100\seed_0\split_fidelity.json,adult,gain_path_herding,budget_100,seed_0,xgboost,0.4803406286155149,0.0,0.2,0.037674500003049616
split_fidelity,adult\gain_path_herding\budget_100\seed_1\split_fidelity.json,adult,gain_path_herding,budget_100,seed_1,xgboost,0.45072724744984977,0.0,0.0,0.031159699999989243
split_fidelity,adult\gain_path_herding\budget_100\seed_2\split_fidelity.json,adult,gain_path_herding,budget_100,seed_2,xgboost,0.6172909884886794,0.0,0.2,0.03134739999950398
split_fidelity,adult\gain_path_herding\budget_25\seed_0\split_fidelity.json,adult,gain_path_herding,budget_25,seed_0,xgboost,0.6081439473671723,0.0,0.4,0.02303520000714343
split_fidelity,adult\gain_path_herding\budget_25\seed_1\split_fidelity.json,adult,gain_path_herding,budget_25,seed_1,xgboost,0.4317088889110566,0.0,0.0,0.023921800006064586
split_fidelity,adult\gain_path_herding\budget_25\seed_2\split_fidelity.json,adult,gain_path_herding,budget_25,seed_2,xgboost,0.6629701311732821,0.0,0.2,0.019005699999979697
split_fidelity,adult\gain_path_herding\budget_50\seed_0\split_fidelity.json,adult,gain_path_herding,budget_50,seed_0,xgboost,0.42913809925265056,0.0,0.0,0.022618000002694316
split_fidelity,adult\gain_path_herding\budget_50\seed_1\split_fidelity.json,adult,gain_path_herding,budget_50,seed_1,xgboost,0.3876612542577804,0.0,0.2,0.023001599998679012
split_fidelity,adult\gain_path_herding\budget_50\seed_2\split_fidelity.json,adult,gain_path_herding,budget_50,seed_2,xgboost,0.59025719198744,0.0,0.2,0.022458400009782054
split_fidelity,adult\gain_path_prior_weighted\budget_25\seed_0\split_fidelity.json,adult,gain_path_prior_weighted,budget_25,seed_0,xgboost,0.6541734764204963,0.0,0.4,0.029296900000190362
split_fidelity,adult\gain_path_prior_weighted\budget_25\seed_1\split_fidelity.json,adult,gain_path_prior_weighted,budget_25,seed_1,xgboost,0.4396038934938854,0.0,0.0,0.025132899998425273
split_fidelity,adult\gain_path_prior_weighted\budget_25\seed_2\split_fidelity.json,adult,gain_path_prior_weighted,budget_25,seed_2,xgboost,0.6915342729955725,0.0,0.2,0.025194800000463147
split_fidelity,adult\gain_path_prior_weighted\budget_50\seed_0\split_fidelity.json,adult,gain_path_prior_weighted,budget_50,seed_0,xgboost,0.3817526400245737,0.0,0.2,0.024602699999377364
split_fidelity,adult\gain_path_prior_weighted\budget_50\seed_1\split_fidelity.json,adult,gain_path_prior_weighted,budget_50,seed_1,xgboost,0.42858693149536614,0.0,0.2,0.02455280000140192
split_fidelity,adult\gain_path_prior_weighted\budget_50\seed_2\split_fidelity.json,adult,gain_path_prior_weighted,budget_50,seed_2,xgboost,0.6492925123767332,0.0,0.2,0.0266312999992806
split_fidelity,adult\gain_path_refined\budget_25\seed_0\split_fidelity.json,adult,gain_path_refined,budget_25,seed_0,xgboost,0.6258998099258255,0.0,0.4,0.020805899999686517
split_fidelity,adult\gain_path_refined\budget_25\seed_1\split_fidelity.json,adult,gain_path_refined,budget_25,seed_1,xgboost,0.3786495022457082,0.0,0.0,0.02282339999510441
split_fidelity,adult\gain_path_refined\budget_25\seed_2\split_fidelity.json,adult,gain_path_refined,budget_25,seed_2,xgboost,0.6603797367835851,0.0,0.0,0.02007489999232348
split_fidelity,adult\gain_path_refined\budget_50\seed_0\split_fidelity.json,adult,gain_path_refined,budget_50,seed_0,xgboost,0.4966524925677232,0.0,0.0,0.023168200001236983
split_fidelity,adult\gain_path_refined\budget_50\seed_1\split_fidelity.json,adult,gain_path_refined,budget_50,seed_1,xgboost,0.4123902929068089,0.0,0.2,0.02140979999967385
split_fidelity,adult\gain_path_refined\budget_50\seed_2\split_fidelity.json,adult,gain_path_refined,budget_50,seed_2,xgboost,0.6218571103824407,0.0,0.2,0.023834800012991764
split_fidelity,adult\gain_path_refined_weighted\budget_50\seed_0\split_fidelity.json,adult,gain_path_refined_weighted,budget_50,seed_0,xgboost,0.26122998282680204,0.0,0.2,0.019320499999594176
split_fidelity,adult\gain_path_safeguarded\budget_25\seed_0\split_fidelity.json,adult,gain_path_safeguarded,budget_25,seed_0,xgboost,0.6258998099258255,0.0,0.4,0.02050680000684224
split_fidelity,adult\gain_path_safeguarded\budget_25\seed_1\split_fidelity.json,adult,gain_path_safeguarded,budget_25,seed_1,xgboost,0.3786495022457082,0.0,0.0,0.022528999994392507
split_fidelity,adult\gain_path_safeguarded\budget_25\seed_2\split_fidelity.json,adult,gain_path_safeguarded,budget_25,seed_2,xgboost,0.6603797367835851,0.0,0.0,0.02015299999038689
split_fidelity,adult\gain_path_safeguarded\budget_50\seed_0\split_fidelity.json,adult,gain_path_safeguarded,budget_50,seed_0,xgboost,0.4966524925677232,0.0,0.0,0.02591549999488052
split_fidelity,adult\gain_path_safeguarded\budget_50\seed_1\split_fidelity.json,adult,gain_path_safeguarded,budget_50,seed_1,xgboost,0.4123902929068089,0.0,0.2,0.027778199990279973
split_fidelity,adult\gain_path_safeguarded\budget_50\seed_2\split_fidelity.json,adult,gain_path_safeguarded,budget_50,seed_2,xgboost,0.6218571103824407,0.0,0.2,0.025322700006654486
split_fidelity,adult\gain_weighted_coreset\budget_10\seed_0\split_fidelity.json,adult,gain_weighted_coreset,budget_10,seed_0,xgboost,0.3279250721249386,0.0,0.0,0.03711230000044452
split_fidelity,adult\gain_weighted_coreset\budget_10\seed_1\split_fidelity.json,adult,gain_weighted_coreset,budget_10,seed_1,xgboost,0.31533480229442845,0.0,0.0,0.045354500000030384
split_fidelity,adult\gain_weighted_coreset\budget_10\seed_2\split_fidelity.json,adult,gain_weighted_coreset,budget_10,seed_2,xgboost,0.2107111203008409,0.0,0.2,0.053832100000363425
split_fidelity,adult\gain_weighted_coreset\budget_100\seed_0\split_fidelity.json,adult,gain_weighted_coreset,budget_100,seed_0,xgboost,0.2560855871572462,0.0,0.2,0.0487329999996291
split_fidelity,adult\gain_weighted_coreset\budget_100\seed_1\split_fidelity.json,adult,gain_weighted_coreset,budget_100,seed_1,xgboost,0.48550852360026764,1.0,0.2,0.06233839999913471
split_fidelity,adult\gain_weighted_coreset\budget_100\seed_2\split_fidelity.json,adult,gain_weighted_coreset,budget_100,seed_2,xgboost,0.5352249576107674,0.0,0.4,0.051049700001385645
split_fidelity,adult\gain_weighted_coreset\budget_25\seed_0\split_fidelity.json,adult,gain_weighted_coreset,budget_25,seed_0,xgboost,0.08985067412645163,0.0,0.0,0.035417299999608076
split_fidelity,adult\gain_weighted_coreset\budget_25\seed_1\split_fidelity.json,adult,gain_weighted_coreset,budget_25,seed_1,xgboost,0.3259057233804611,0.0,0.0,0.03797640000084357
split_fidelity,adult\gain_weighted_coreset\budget_25\seed_2\split_fidelity.json,adult,gain_weighted_coreset,budget_25,seed_2,xgboost,0.17964052135816175,0.0,0.2,0.04018720000021858
split_fidelity,adult\gain_weighted_coreset\budget_50\seed_0\split_fidelity.json,adult,gain_weighted_coreset,budget_50,seed_0,xgboost,0.2255404203786126,0.0,0.0,0.0430013000004692
split_fidelity,adult\gain_weighted_coreset\budget_50\seed_1\split_fidelity.json,adult,gain_weighted_coreset,budget_50,seed_1,xgboost,0.47269601359229335,0.0,0.4,0.04753060000075493
