dataset,method,budget,root_agreement_mean,top5_overlap_mean,gain_rank_correlation_mean
agaricus_lepiota,sketch_no_conf,budget_50,1.0,0.4,0.5149472983188091
agaricus_lepiota,sketch_no_gain_weight,budget_50,1.0,0.4,0.5149472983188091
agaricus_lepiota,sketch_no_grad,budget_50,0.0,0.6,0.5801076644341128
agaricus_lepiota,sketch_no_hess,budget_50,1.0,0.6,0.6196931750344553
agaricus_lepiota,sketch_no_raw,budget_50,1.0,0.6,0.68897800705018
agaricus_lepiota,sketch_occupancy_only,budget_50,0.0,0.4,0.4997320015347639
agaricus_lepiota,tree_region,budget_10,0.0,0.0,0.14344708902115047
agaricus_lepiota,tree_region,budget_100,0.0,0.20000000000000004,0.3684888122298786
agaricus_lepiota,tree_region,budget_25,0.0,0.0,0.1731195698089751
agaricus_lepiota,tree_region,budget_50,0.0,0.13333333333333333,0.31233079984072426
australian,ablation_full,budget_50,0.0,0.0,-0.07708805106169259
australian,ablation_no_child,budget_50,0.0,0.0,0.02258761085528273
australian,ablation_no_entropy_anneal,budget_50,0.0,0.2,-0.04096760016585501
australian,ablation_no_gain,budget_50,1.0,0.4,-0.21383910802816739
australian,ablation_no_hist,budget_50,0.0,0.2,-0.052283547650056036
australian,ablation_no_margin,budget_50,0.0,0.0,-0.22676272350543394
australian,ablation_no_marginal,budget_50,0.0,0.0,-0.18055029173132459
australian,ablation_no_newton,budget_50,0.0,0.0,-0.0752644577295871
australian,ablation_no_pairwise,budget_50,0.0,0.0,-0.10371428990865916
australian,distribution_matching,budget_10,0.0,0.13333333333333333,0.05084920864213318
australian,distribution_matching,budget_100,0.3333333333333333,0.20000000000000004,0.28047750152903284
australian,distribution_matching,budget_25,0.0,0.06666666666666667,0.16429566108498897
australian,distribution_matching,budget_50,0.0,0.06666666666666667,0.26053188752244494
australian,full_data,budget_10,0.6666666666666666,0.7999999999999999,0.9286456271911572
australian,full_data,budget_100,0.6666666666666666,0.7999999999999999,0.9286456271911572
australian,full_data,budget_25,0.6666666666666666,0.7999999999999999,0.9286456271911572
australian,full_data,budget_50,0.6666666666666666,0.7999999999999999,0.9286456271911572
australian,gain_herding,budget_10,0.6666666666666666,0.3333333333333333,0.6188192711179881
australian,gain_herding,budget_100,0.6666666666666666,0.3333333333333333,0.31467671554068805
australian,gain_herding,budget_25,0.3333333333333333,0.3333333333333333,0.2518908766025329
australian,gain_herding,budget_50,0.3333333333333333,0.3333333333333333,0.32142109064776897
australian,gain_path_diverse,budget_25,0.0,0.0,-0.07124082359519561
australian,gain_path_diverse,budget_50,0.0,0.2,0.17417978293796604
australian,gain_path_dual,budget_25,1.0,0.2,0.4169990911455912
australian,gain_path_dual,budget_50,1.0,0.4,0.28127473778491596
australian,gain_path_herding,budget_10,1.0,0.26666666666666666,0.502689832903534
australian,gain_path_herding,budget_100,0.3333333333333333,0.20000000000000004,0.3617257212452152
australian,gain_path_herding,budget_25,0.0,0.26666666666666666,0.2754432434106623
australian,gain_path_herding,budget_50,0.3333333333333333,0.20000000000000004,0.3639648167019553
australian,gain_path_prior_weighted,budget_25,0.0,0.26666666666666666,0.24840194870762802
australian,gain_path_prior_weighted,budget_50,0.3333333333333333,0.26666666666666666,0.3352843508160552
australian,gain_path_refined,budget_25,0.0,0.26666666666666666,0.24383897358878004
australian,gain_path_refined,budget_50,0.0,0.20000000000000004,0.40275916219494334
australian,gain_path_refined_weighted,budget_50,0.0,0.2,0.26861600973353555
australian,gain_path_safeguarded,budget_25,0.0,0.26666666666666666,0.24383897358878004
australian,gain_path_safeguarded,budget_50,0.0,0.20000000000000004,0.40275916219494334
australian,gain_weighted_coreset,budget_10,0.0,0.06666666666666667,0.088597660791066
australian,gain_weighted_coreset,budget_100,0.0,0.3333333333333333,0.5218816866859738
australian,gain_weighted_coreset,budget_25,0.0,0.13333333333333333,0.32494752424084045
australian,gain_weighted_coreset,budget_50,0.0,0.13333333333333333,0.2820197644081936
australian,gaindistill,budget_10,0.0,0.13333333333333333,-0.09080441690895041
australian,gaindistill,budget_100,0.0,0.06666666666666667,-0.0769258859006972
australian,gaindistill,budget_25,0.0,0.13333333333333333,-0.15617112596869434
australian,gaindistill,budget_50,0.0,0.13333333333333333,-0.17276428637348498
australian,gaindistill_anchor,budget_25,0.6666666666666666,0.3333333333333333,0.30782204154847176
australian,gaindistill_anchor,budget_50,0.0,0.26666666666666666,0.3536662669951272
australian,gaindistill_full,budget_25,0.6666666666666666,0.26666666666666666,0.30672873099192705
australian,gaindistill_full,budget_50,0.0,0.26666666666666666,0.35375185886718175
australian,gaindistill_hybrid,budget_10,0.0,0.06666666666666667,0.088597660791066
australian,gaindistill_hybrid,budget_100,0.0,0.3333333333333333,0.5218816866859738
australian,gaindistill_hybrid,budget_25,0.0,0.13333333333333333,0.32494752424084045
australian,gaindistill_hybrid,budget_50,0.0,0.13333333333333333,0.2820197644081936
australian,gaindistill_path_hybrid,budget_10,0.0,0.13333333333333333,0.04644684253970208
australian,gaindistill_path_hybrid,budget_100,0.0,0.4666666666666666,0.5461123351000267
australian,gaindistill_path_hybrid,budget_25,0.0,0.06666666666666667,0.2922110322225781
australian,gaindistill_path_hybrid,budget_50,0.0,0.4000000000000001,0.39309074925521675
australian,gradient_sampling,budget_10,0.0,0.06666666666666667,-0.08013049167456805
australian,gradient_sampling,budget_100,0.3333333333333333,0.5333333333333333,0.6787015957332887
australian,gradient_sampling,budget_25,0.0,0.0,-0.034366557859083685
australian,gradient_sampling,budget_50,0.6666666666666666,0.26666666666666666,0.37207215153143514
australian,herding,budget_10,0.0,0.20000000000000004,0.19217195103900062
australian,herding,budget_100,0.6666666666666666,0.13333333333333333,0.41365197326932296
australian,herding,budget_25,0.0,0.0,0.24193607198825995
australian,herding,budget_50,0.0,0.4000000000000001,0.24458347606778194
australian,k_center,budget_10,0.3333333333333333,0.20000000000000004,0.15334497917148063
australian,k_center,budget_100,0.0,0.4666666666666666,0.6883326960817796
australian,k_center,budget_25,0.0,0.20000000000000004,0.3092972765820155
australian,k_center,budget_50,0.3333333333333333,0.4000000000000001,0.3427515833788775
australian,math_full,budget_50,0.0,0.4,0.3017081436827933
australian,math_no_anchor,budget_50,0.0,0.4,0.27859068870511
australian,math_no_hist,budget_50,0.0,0.2,0.26709999010999613
australian,math_no_newton,budget_50,0.0,0.2,0.277390906397547
australian,math_no_probes,budget_50,0.0,0.4,0.32091702949357037
australian,math_no_soft_routing,budget_50,0.0,0.2,0.16130887591838264
australian,math_root_only,budget_50,0.0,0.2,0.27813303978366843
australian,math_tuned,budget_50,0.0,0.4,0.30373664160485864
australian,math_tuned_more_probes,budget_50,0.0,0.2,0.23507693449885533
australian,math_tuned_no_anchor,budget_50,0.0,0.4,0.3526556006400312
australian,math_tuned_no_hist,budget_50,0.0,0.4,0.3895519988200362
australian,random,budget_10,0.0,0.06666666666666667,0.2223206159268296
australian,random,budget_100,0.3333333333333333,0.26666666666666666,0.3970867716719035
australian,random,budget_25,0.6666666666666666,0.26666666666666666,0.22171161829540323
australian,random,budget_50,0.6666666666666666,0.20000000000000004,0.26984384181697646
australian,refined_no_conf,budget_25,0.0,0.26666666666666666,0.24383897358878004
australian,refined_no_conf,budget_50,0.3333333333333333,0.26666666666666666,0.364338827854703
australian,refined_no_gain_weight,budget_25,0.0,0.26666666666666666,0.24383897358878004
australian,refined_no_gain_weight,budget_50,0.0,0.20000000000000004,0.40275916219494334
australian,refined_no_grad,budget_25,0.0,0.26666666666666666,0.2532020307116274
australian,refined_no_grad,budget_50,0.6666666666666666,0.26666666666666666,0.443344032199247
australian,refined_no_hess,budget_25,0.3333333333333333,0.3333333333333333,0.2819892112720612
australian,refined_no_hess,budget_50,1.0,0.5333333333333333,0.37899630739959095
australian,refined_no_path,budget_25,0.3333333333333333,0.5333333333333333,0.32032042274823475
australian,refined_no_path,budget_50,0.6666666666666666,0.26666666666666666,0.36964172087794717
australian,refined_no_raw,budget_25,0.0,0.26666666666666666,0.3323278818795315
australian,refined_no_raw,budget_50,0.3333333333333333,0.26666666666666666,0.27209920454294534
australian,refined_no_refine,budget_25,0.0,0.26666666666666666,0.2754432434106623
australian,refined_no_refine,budget_50,0.3333333333333333,0.20000000000000004,0.3639648167019553
australian,refined_path_occupancy_only,budget_25,0.0,0.3333333333333333,0.30858713998198933
australian,refined_path_occupancy_only,budget_50,0.6666666666666666,0.20000000000000004,0.14589202045813185
australian,sketch_no_conf,budget_50,0.0,0.0,0.20494708548780183
australian,sketch_no_gain_weight,budget_50,0.0,0.0,0.19300636587016848
australian,sketch_no_grad,budget_50,0.0,0.0,0.5289648431595813
australian,sketch_no_hess,budget_50,0.0,0.4,0.24985703957375047
australian,sketch_no_raw,budget_50,0.0,0.2,0.19884069216435388
australian,sketch_occupancy_only,budget_50,0.0,0.0,0.4645091079608972
australian,tree_region,budget_10,0.0,0.06666666666666667,-0.08013049167456805
australian,tree_region,budget_100,0.3333333333333333,0.5333333333333333,0.6787015957332887
australian,tree_region,budget_25,0.0,0.0,-0.034366557859083685
australian,tree_region,budget_50,0.6666666666666666,0.26666666666666666,0.37207215153143514
bank_marketing,ablation_full,budget_50,1.0,0.2,-0.1419889373861555
