dataset,method,budget,learner,auroc_mean,auroc_std,accuracy_mean,train_seconds_mean
breast_w,sketch_no_hess,budget_50,mlp,0.9791666666666666,,0.9428571428571428,0.2606751000002987
breast_w,sketch_no_hess,budget_50,random_forest,0.9884510869565218,,0.9642857142857143,0.4216541999994661
breast_w,sketch_no_hess,budget_50,xgboost,0.9895833333333333,,0.9428571428571428,0.02160099999855447
breast_w,sketch_no_raw,budget_50,catboost,0.9893568840579711,,0.95,0.1953241999999591
breast_w,sketch_no_raw,budget_50,lightgbm,0.9895833333333333,,0.9357142857142857,0.01768380000066827
breast_w,sketch_no_raw,budget_50,mlp,0.9920742753623188,,0.9642857142857143,0.3194124000001466
breast_w,sketch_no_raw,budget_50,random_forest,0.9902626811594203,,0.9714285714285714,0.48188569999911124
breast_w,sketch_no_raw,budget_50,xgboost,0.9913949275362318,,0.9571428571428572,0.019184599999789498
breast_w,sketch_occupancy_only,budget_50,catboost,0.9950181159420289,,0.9642857142857143,0.14290710000022955
breast_w,sketch_occupancy_only,budget_50,lightgbm,0.9941123188405797,,0.9714285714285714,0.014658199999757926
breast_w,sketch_occupancy_only,budget_50,mlp,0.9440670289855072,,0.95,0.25205709999863757
breast_w,sketch_occupancy_only,budget_50,random_forest,0.9846014492753623,,0.9642857142857143,0.36818440000024566
breast_w,sketch_occupancy_only,budget_50,xgboost,0.9911684782608695,,0.95,0.015106099999684375
breast_w,tree_region,budget_10,catboost,0.5,0.0,0.3428571428571428,0.2050133666665109
breast_w,tree_region,budget_10,lightgbm,0.5,0.0,0.3428571428571428,0.007869099999879836
breast_w,tree_region,budget_10,mlp,0.20516304347826086,0.036840311524454605,0.19999999999999998,0.28996560000026267
breast_w,tree_region,budget_10,random_forest,0.006038647342995174,0.00307448850459183,0.05476190476190476,0.5830486999999872
breast_w,tree_region,budget_10,xgboost,0.008378623188405801,0.003623188405797103,0.0619047619047619,0.025287000000389526
breast_w,tree_region,budget_100,catboost,0.9878472222222222,0.0008573231198370126,0.9571428571428572,0.9023299000003439
breast_w,tree_region,budget_100,lightgbm,0.9873188405797101,0.0023857911578017634,0.9523809523809524,0.030464266666664724
breast_w,tree_region,budget_100,mlp,0.9887530193236715,0.004208140055786891,0.9523809523809524,0.8264397999998133
breast_w,tree_region,budget_100,random_forest,0.9910175120772946,0.0005698848456574562,0.9666666666666667,0.5926702999998573
breast_w,tree_region,budget_100,xgboost,0.9875452898550726,0.002160188409005834,0.9595238095238096,0.03141406666691182
breast_w,tree_region,budget_25,catboost,0.9783363526570049,0.004621914216410387,0.9333333333333332,0.186976500000128
breast_w,tree_region,budget_25,lightgbm,0.9771663647342995,0.006228727341116901,0.9357142857142856,0.017710799999804294
breast_w,tree_region,budget_25,mlp,0.8288043478260869,0.06211524674762369,0.85,0.44496566666627285
breast_w,tree_region,budget_25,random_forest,0.9822614734299516,0.00351057244994972,0.9476190476190475,0.602100333333207
breast_w,tree_region,budget_25,xgboost,0.9765247584541062,0.003040947626582652,0.9238095238095237,0.03017493333360714
breast_w,tree_region,budget_50,catboost,0.9803743961352657,0.004664708501050824,0.9595238095238096,0.44579720000001544
breast_w,tree_region,budget_50,lightgbm,0.9839975845410628,0.0022340954992373543,0.969047619047619,0.021369133333488815
breast_w,tree_region,budget_50,mlp,0.9488979468599034,0.005520596166433106,0.9404761904761904,0.6569546333330436
breast_w,tree_region,budget_50,random_forest,0.9883001207729469,0.0009427835142509279,0.9642857142857143,0.5873010333331573
breast_w,tree_region,budget_50,xgboost,0.9833937198067632,0.004575919253088024,0.9595238095238096,0.029030900000179827
credit_approval,distribution_matching,budget_10,catboost,0.5,0.0,0.5579710144927537,0.20926210000016
credit_approval,distribution_matching,budget_10,lightgbm,0.5,0.0,0.5579710144927537,0.0066169666667216616
credit_approval,distribution_matching,budget_10,mlp,0.6335959122844369,0.07521064921868377,0.6159420289855072,0.2921513999999661
credit_approval,distribution_matching,budget_10,random_forest,0.9006812859271877,0.01999492996346683,0.8357487922705314,0.5512414333334164
credit_approval,distribution_matching,budget_10,xgboost,0.8970619544390036,0.03162936297624652,0.8381642512077295,0.021463933333507157
credit_approval,distribution_matching,budget_100,catboost,0.9296004541906181,0.005302638235248717,0.859903381642512,0.48885796666642517
credit_approval,distribution_matching,budget_100,lightgbm,0.9347100986445249,0.008474278246016825,0.8695652173913043,0.03849266666626742
credit_approval,distribution_matching,budget_100,mlp,0.6680860123483074,0.014383091977053005,0.6328502415458938,0.1637580666665599
credit_approval,distribution_matching,budget_100,random_forest,0.9393229721098574,0.008182192399648994,0.8840579710144928,0.5892121000003195
credit_approval,distribution_matching,budget_100,xgboost,0.9371939535873963,0.011520331495395948,0.8695652173913043,0.04479419999976623
credit_approval,distribution_matching,budget_25,catboost,0.9107941239088779,0.051186294396726596,0.8236714975845411,0.21621396666675233
credit_approval,distribution_matching,budget_25,lightgbm,0.9005038677169824,0.061948799164633125,0.8260869565217391,0.017357400000340324
credit_approval,distribution_matching,budget_25,mlp,0.6690085870413739,0.010365354309482981,0.6521739130434782,0.5030344666665769
credit_approval,distribution_matching,budget_25,random_forest,0.9410971542119083,0.012193782053524605,0.8840579710144928,0.6267088666663767
credit_approval,distribution_matching,budget_25,xgboost,0.9310552835142998,0.017670319336147447,0.8719806763285024,0.028157966666488694
credit_approval,distribution_matching,budget_50,catboost,0.9315875381449151,0.025716510998788213,0.8647342995169082,0.6071350000005017
credit_approval,distribution_matching,budget_50,lightgbm,0.9322972109857356,0.023059344479632437,0.8671497584541062,0.02249889999984589
credit_approval,distribution_matching,budget_50,mlp,0.6057767369242778,0.042917725417664074,0.5772946859903382,0.18065966666654276
credit_approval,distribution_matching,budget_50,random_forest,0.9455680931090766,0.01555252523788803,0.8840579710144928,0.6531508333331052
credit_approval,distribution_matching,budget_50,xgboost,0.936839117166986,0.021102357901312454,0.8743961352657005,0.029540466666730936
credit_approval,full_data,budget_10,catboost,0.9693421332765594,0.0,0.8985507246376812,1.3410006333333513
credit_approval,full_data,budget_10,lightgbm,0.9691292314243135,0.0,0.8985507246376812,0.04506089999995311
credit_approval,full_data,budget_10,mlp,0.7432403661911859,0.0,0.7246376811594203,0.16512543333283247
credit_approval,full_data,budget_10,random_forest,0.9744517777304663,0.0,0.927536231884058,0.661616233333613
credit_approval,full_data,budget_10,xgboost,0.9695550351288057,0.0,0.8913043478260869,0.05560446666671245
credit_approval,full_data,budget_100,catboost,0.9693421332765594,0.0,0.8985507246376812,1.912697966666504
credit_approval,full_data,budget_100,lightgbm,0.9691292314243135,0.0,0.8985507246376812,0.04278343333317025
credit_approval,full_data,budget_100,mlp,0.7432403661911859,0.0,0.7246376811594203,0.15540596666657316
credit_approval,full_data,budget_100,random_forest,0.9744517777304663,0.0,0.927536231884058,0.6230067666668523
credit_approval,full_data,budget_100,xgboost,0.9695550351288057,0.0,0.8913043478260869,0.04943870000018554
credit_approval,full_data,budget_25,catboost,0.9693421332765594,0.0,0.8985507246376812,2.1495557999999924
credit_approval,full_data,budget_25,lightgbm,0.9691292314243135,0.0,0.8985507246376812,0.044892666666479876
credit_approval,full_data,budget_25,mlp,0.7432403661911859,0.0,0.7246376811594203,0.17205620000004274
credit_approval,full_data,budget_25,random_forest,0.9744517777304663,0.0,0.927536231884058,0.676380166666604
credit_approval,full_data,budget_25,xgboost,0.9695550351288057,0.0,0.8913043478260869,0.05268536666668903
credit_approval,full_data,budget_50,catboost,0.9693421332765594,0.0,0.8985507246376812,1.944254333333447
credit_approval,full_data,budget_50,lightgbm,0.9691292314243135,0.0,0.8985507246376812,0.04478436666674194
credit_approval,full_data,budget_50,mlp,0.7432403661911859,0.0,0.7246376811594203,0.1529177999997652
credit_approval,full_data,budget_50,random_forest,0.9744517777304663,0.0,0.927536231884058,0.6658332666665956
credit_approval,full_data,budget_50,xgboost,0.9695550351288057,0.0,0.8913043478260869,0.05692333333354327
credit_approval,gain_herding,budget_10,catboost,0.5,0.0,0.5579710144927537,0.41682259999955323
credit_approval,gain_herding,budget_10,lightgbm,0.5,0.0,0.5579710144927537,0.007523100000980776
credit_approval,gain_herding,budget_10,mlp,0.644915194095522,0.06627442934275714,0.6425120772946861,0.15934939999957956
credit_approval,gain_herding,budget_10,random_forest,0.9455680931090767,0.005674277058446021,0.8816425120772946,0.6477137000007739
credit_approval,gain_herding,budget_10,xgboost,0.916506990277482,0.015025929386915937,0.8574879227053142,0.035224933333059504
credit_approval,gain_herding,budget_100,catboost,0.961109928323043,0.007403762035764616,0.893719806763285,1.4255680333335476
