dataset,method,method_label,density_beta,budget,seed,mmd2,rows,mlp_auroc,xgboost_auroc,sld_inf_norm,sld_rank_correlation_direct
australian,histdistill_density_strong,beta=0.70,0.7,budget_50,seed_1,0.001826610050806643,100,0.735788801362572,0.937193953587396,0.3717037456768899,0.7628811179197642
australian,histdistill_density_strong,beta=0.70,0.7,budget_25,seed_0,0.00463978355528849,50,0.7334468809878647,0.908984458164786,0.4000022973491118,0.7829128349759529
australian,histdistill_density_strong,beta=0.70,0.7,budget_25,seed_2,0.00398475068869486,50,0.6851181605279966,0.9243133915265064,0.188130590167615,0.8390598855378606
australian,histdistill_density_strong,beta=0.70,0.7,budget_25,seed_1,0.0048044781449854135,50,0.7125824994677452,0.9227166276346606,0.5076472756383898,0.6941568707243979
australian,histdistill_density_xstrong,beta=1.25,1.25,budget_50,seed_0,0.0022686455112980175,100,0.7587822014051524,0.9322972109857356,0.1904532435001242,0.9005629389708836
australian,histdistill_density_xstrong,beta=1.25,1.25,budget_50,seed_2,0.0015764669954826394,100,0.6843730040451351,0.9284649776453056,0.1459292598715714,0.9413669997651076
australian,histdistill_density_xstrong,beta=1.25,1.25,budget_50,seed_1,0.0018266085277470756,100,0.7364275069193102,0.937193953587396,0.3717038375845538,0.7628811179197642
australian,histdistill_density_xstrong,beta=1.25,1.25,budget_25,seed_0,0.00463978355528849,50,0.7334468809878647,0.908984458164786,0.4000022973491118,0.7829128349759529
australian,histdistill_density_xstrong,beta=1.25,1.25,budget_25,seed_2,0.003984750750702704,50,0.682137534596551,0.9243133915265064,0.18813058446997,0.8390598855378606
australian,histdistill_density_xstrong,beta=1.25,1.25,budget_25,seed_1,0.0048044781449854135,50,0.7125824994677452,0.9227166276346606,0.5076472756383898,0.6941568707243979
bank_marketing,histdistill_refined,beta=0.00,0.0,budget_50,seed_0,0.00870602581208546,100,0.7461375189328394,0.8511350006151847,5.871649529421485,0.4420901921308076
bank_marketing,histdistill_refined,beta=0.00,0.0,budget_50,seed_2,0.008157814905414784,100,0.7537039876696381,0.8539021195688739,21.248649612743574,0.3955500884877924
bank_marketing,histdistill_refined,beta=0.00,0.0,budget_50,seed_1,0.005866851188301436,100,0.7691805800434084,0.8544212384789239,10.080750128973722,0.447788638058236
bank_marketing,histdistill_refined,beta=0.00,0.0,budget_25,seed_0,0.013654935435915005,50,0.6861751936922658,0.8390404088462955,9.029459918054858,0.3639677167668582
bank_marketing,histdistill_refined,beta=0.00,0.0,budget_25,seed_2,0.011888501456581713,50,0.6036013457695597,0.8344474338312794,40.32208350390172,0.3960496557068467
bank_marketing,histdistill_refined,beta=0.00,0.0,budget_25,seed_1,0.010601667532419423,50,0.7103113440664375,0.8381361176451336,9.22150956905096,0.3555122132838928
bank_marketing,histdistill_density_weak,beta=0.15,0.15,budget_50,seed_0,0.0072154150235144154,100,0.7244014980201963,0.8536527121765963,5.101301872820984,0.4315541477829216
bank_marketing,histdistill_density_weak,beta=0.15,0.15,budget_50,seed_2,0.007944698623489455,100,0.7386128706336281,0.8520059566849364,15.95539086466477,0.432297988359513
bank_marketing,histdistill_density_weak,beta=0.15,0.15,budget_50,seed_1,0.0068766150855880115,100,0.73679489378518,0.8511186360961288,7.831111124970778,0.4358018520407828
bank_marketing,histdistill_density_weak,beta=0.15,0.15,budget_25,seed_0,0.013171514559669029,50,0.6979385554735983,0.8427418206194153,9.241922960794454,0.3638150993070725
