dataset,method,method_label,budget,seed,learner,deployed_r2,leaf_refit_r2,leaf_estimate_recovery,leaf_population_l1,train_rows,status,full_deployed_r2,structure_ref_r2,structure_error,total_gap
cpu_act,herding,Herding,budget_50,seed_1,lightgbm,0.1366805955253284,0.19822599970968757,0.061545404184359165,0.09366248037676612,50,ok,0.9769240350553479,0.976926430356692,0.7787004306470044,0.8402458348313636
cpu_act,k_center,K-center,budget_25,seed_1,xgboost,0.44348351236533734,0.8036101573827064,0.360126645017369,0.18968810202143532,25,ok,0.9796709704463366,0.9800534715934023,0.17644331421069592,0.5365699592280649
cpu_act,k_center,K-center,budget_25,seed_1,lightgbm,-0.022348714427845362,-0.0004928659886678233,0.02185584843917754,0.0,25,ok,0.9769240350553479,0.976926430356692,0.9774192963453598,0.9992751447845374
cpu_act,k_center,K-center,budget_50,seed_1,xgboost,0.5003770448455459,0.9415131434637304,0.4411360986181845,0.19134649301315967,50,ok,0.9796709704463366,0.9800534715934023,0.0385403281296719,0.4796764267478564
cpu_act,k_center,K-center,budget_50,seed_1,lightgbm,0.27242008611073054,0.27092432238506825,-0.0014957637256622913,0.12057805686377111,50,ok,0.9769240350553479,0.976926430356692,0.7060021079716238,0.7045063442459615
cpu_act,full_data,Full data,budget_25,seed_1,xgboost,0.9796709704463366,0.9800534715934023,0.000382501147065728,0.0,4914,ok,0.9796709704463366,0.9800534715934023,0.0,0.000382501147065728
cpu_act,full_data,Full data,budget_25,seed_1,lightgbm,0.9769240350553479,0.976926430356692,2.3953013441602167e-06,0.0,4914,ok,0.9769240350553479,0.976926430356692,0.0,2.3953013441602167e-06
cpu_act,full_data,Full data,budget_50,seed_1,xgboost,0.9796709704463366,0.9800534715934023,0.000382501147065728,0.0,4914,ok,0.9796709704463366,0.9800534715934023,0.0,0.000382501147065728
cpu_act,full_data,Full data,budget_50,seed_1,lightgbm,0.9769240350553479,0.976926430356692,2.3953013441602167e-06,0.0,4914,ok,0.9769240350553479,0.976926430356692,0.0,2.3953013441602167e-06
kin8nm,histdistill,HistDistill,budget_25,seed_1,xgboost,0.1441794527917334,0.4104948370986572,0.2663153843069238,0.2590970017636684,25,ok,0.6109282417525139,0.608549350200619,0.19805451310196176,0.46436989740888557
kin8nm,histdistill,HistDistill,budget_25,seed_1,lightgbm,-0.08463427470346452,-4.139301304317833e-05,0.08459288169042134,0.0,25,ok,0.6120804992342821,0.61208049957578,0.6121218925888232,0.6967147742792446
kin8nm,histdistill,HistDistill,budget_50,seed_1,xgboost,0.3455942981671639,0.47287722748791927,0.12728292932075536,0.17708329941663276,50,ok,0.6109282417525139,0.608549350200619,0.13567212271269968,0.26295505203345504
