dataset,seed,state,depth,dose_ratio,epsilon,margin,agreement,split_regret_norm
australian,seed_1,probe_depth_2,2,0.25,5.574957677577069,22.299830710308274,1.0,0.0
australian,seed_1,probe_depth_2,2,0.49,10.926917048051054,22.299830710308274,1.0,0.0
australian,seed_1,probe_depth_2,2,0.5,11.149915355154137,22.299830710308274,1.0,0.0
australian,seed_1,probe_depth_2,2,0.75,16.724873032731207,22.299830710308274,0.765625,0.1910239744522345
australian,seed_1,probe_depth_2,2,1.0,22.299830710308274,22.299830710308274,0.6328125,0.3159788582380254
australian,seed_1,probe_depth_2,2,1.5,33.44974606546241,22.299830710308274,0.4609375,0.4643927761059605
australian,seed_1,probe_depth_2,2,2.0,44.59966142061655,22.299830710308274,0.328125,0.5883182855773608
australian,seed_1,probe_depth_2,2,0.0,0.0,5.367732813082027,1.0,0.0
australian,seed_1,probe_depth_2,2,0.25,1.3419332032705067,5.367732813082027,1.0,0.0
australian,seed_1,probe_depth_2,2,0.49,2.630189078410193,5.367732813082027,1.0,0.0
australian,seed_1,probe_depth_2,2,0.5,2.6838664065410134,5.367732813082027,1.0,0.0
australian,seed_1,probe_depth_2,2,0.75,4.02579960981152,5.367732813082027,0.8125,0.10718155128866826
australian,seed_1,probe_depth_2,2,1.0,5.367732813082027,5.367732813082027,0.671875,0.19988714537467692
australian,seed_1,probe_depth_2,2,1.5,8.05159921962304,5.367732813082027,0.515625,0.3010454220981874
australian,seed_1,probe_depth_2,2,2.0,10.735465626164054,5.367732813082027,0.3203125,0.44718481690609224
australian,seed_1,probe_depth_1,1,0.0,0.0,4.338615174094329,1.0,0.0
australian,seed_1,probe_depth_1,1,0.25,1.0846537935235823,4.338615174094329,1.0,0.0
australian,seed_1,probe_depth_1,1,0.49,2.1259214353062212,4.338615174094329,1.0,0.0
australian,seed_1,probe_depth_1,1,0.5,2.1693075870471645,4.338615174094329,1.0,0.0
australian,seed_1,probe_depth_1,1,0.75,3.253961380570747,4.338615174094329,0.8671875,0.08206079667476422
australian,seed_1,probe_depth_1,1,1.0,4.338615174094329,4.338615174094329,0.703125,0.19919202436136724
australian,seed_1,probe_depth_1,1,1.5,6.507922761141494,4.338615174094329,0.5703125,0.29456398757396385
australian,seed_1,probe_depth_1,1,2.0,8.677230348188658,4.338615174094329,0.421875,0.4204597103800045
australian,seed_1,probe_depth_2,2,0.0,0.0,0.840337313052224,1.0,0.0
australian,seed_1,probe_depth_2,2,0.25,0.210084328263056,0.840337313052224,1.0,0.0
australian,seed_1,probe_depth_2,2,0.49,0.41176528339558977,0.840337313052224,1.0,0.0
australian,seed_1,probe_depth_2,2,0.5,0.420168656526112,0.840337313052224,1.0,0.0
australian,seed_1,probe_depth_2,2,0.75,0.630252984789168,0.840337313052224,0.921875,0.01728420308128203
australian,seed_1,probe_depth_2,2,1.0,0.840337313052224,0.840337313052224,0.84375,0.039975317029978426
australian,seed_1,probe_depth_2,2,1.5,1.260505969578336,0.840337313052224,0.703125,0.0832760986994843
australian,seed_1,probe_depth_2,2,2.0,1.680674626104448,0.840337313052224,0.609375,0.12599126471461816
australian,seed_1,probe_depth_0,0,0.0,0.0,34.71538064258943,1.0,0.0
australian,seed_1,probe_depth_0,0,0.25,8.678845160647358,34.71538064258943,1.0,0.0
australian,seed_1,probe_depth_0,0,0.49,17.01053651486882,34.71538064258943,1.0,0.0
australian,seed_1,probe_depth_0,0,0.5,17.357690321294715,34.71538064258943,1.0,0.0
australian,seed_1,probe_depth_0,0,0.75,26.036535481942074,34.71538064258943,0.8203125,0.10920170205831864
australian,seed_1,probe_depth_0,0,1.0,34.71538064258943,34.71538064258943,0.7109375,0.18357851887294052
australian,seed_1,probe_depth_0,0,1.5,52.07307096388415,34.71538064258943,0.40625,0.4015455907396789
australian,seed_1,probe_depth_0,0,2.0,69.43076128517886,34.71538064258943,0.34375,0.45521634702006797
australian,seed_1,probe_depth_1,1,0.0,0.0,25.766630797154924,1.0,0.0
australian,seed_1,probe_depth_1,1,0.25,6.441657699288731,25.766630797154924,1.0,0.0
