task,dataset,method,method_label,budget,seed,learner,train_rows,select_seconds,train_seconds,primary_metric,r2,mae,rmse
regression,california_housing,herding,Herding,budget_25,seed_0,xgboost,25,0.01202000000012049,0.03337910000118427,0.03748486296540687,0.03748486296540687,0.7711723645265023,1.1182985127189256
regression,california_housing,herding,Herding,budget_25,seed_0,lightgbm,25,0.013182099999539787,0.005246700000498095,-0.16189418766959252,-0.16189418766959252,0.8924555158202967,1.2286756537570611
regression,california_housing,herding,Herding,budget_25,seed_0,mlp,25,0.01612609999938286,0.09725109999999404,-0.06251604762508012,-0.06251604762508012,0.8169750459218342,1.1749562946420484
regression,california_housing,herding,Herding,budget_50,seed_0,xgboost,50,0.014398100000107661,0.04121830000076443,0.38348333518456357,0.38348333518456357,0.6468126290268819,0.8950068791587882
regression,california_housing,herding,Herding,budget_50,seed_0,lightgbm,50,0.015014399999927264,0.011671199999909732,0.41581255049468957,0.41581255049468957,0.6723631100944437,0.8712244891716546
regression,california_housing,herding,Herding,budget_50,seed_0,mlp,50,0.01765009999871836,0.1426633999999467,-6.599282049442103,-6.599282049442103,1.081343999666993,3.1422464561193495
regression,california_housing,k_center,K-center,budget_25,seed_0,xgboost,25,0.03759630000058678,0.034321500001169625,0.05021549588310603,0.05021549588310603,0.8448999679991722,1.1108783505799538
regression,california_housing,k_center,K-center,budget_25,seed_0,lightgbm,25,0.03829299999961222,0.004621699999916018,-0.13537664894382173,-0.13537664894382173,0.887019978333823,1.2145738940149975
regression,california_housing,k_center,K-center,budget_25,seed_0,mlp,25,0.03470930000003136,0.13424310000118567,-0.17103402922987865,-0.17103402922987865,0.950228530064281,1.2334987705425386
regression,california_housing,k_center,K-center,budget_50,seed_0,xgboost,50,0.04405610000139859,0.05099519999930635,-0.08249731906610491,-0.08249731906610491,0.9032381497316678,1.1859527266783096
regression,california_housing,k_center,K-center,budget_50,seed_0,lightgbm,50,0.04909659999975702,0.014886699998896802,0.09833988321123499,0.09833988321123499,0.8796278347478123,1.0823691195824046
regression,california_housing,k_center,K-center,budget_50,seed_0,mlp,50,0.053498400000535185,0.2642414000001736,-0.18657840441732199,-0.18657840441732199,0.9759989814036051,1.2416585493987506
regression,california_housing,full_data,Full data,budget_25,seed_0,xgboost,7200,2.6700001399149187e-05,0.2496702999997069,0.7909011707679066,0.7909011707679066,0.3584849705430944,0.5212304317181944
regression,california_housing,full_data,Full data,budget_25,seed_0,lightgbm,7200,2.7600000976235606e-05,0.13688339999862364,0.7911060699184305,0.7911060699184305,0.35815868712924565,0.5209749882765335
regression,california_housing,full_data,Full data,budget_25,seed_0,mlp,7200,2.0600000425474718e-05,18.82453069999974,0.7614324592371651,0.7614324592371651,0.38106685978703503,0.55674924924727
regression,california_housing,full_data,Full data,budget_50,seed_0,xgboost,7200,3.879999894706998e-05,0.24670639999931154,0.7909011707679066,0.7909011707679066,0.3584849705430944,0.5212304317181944
regression,california_housing,full_data,Full data,budget_50,seed_0,lightgbm,7200,3.300000025774352e-05,0.12869769999997516,0.7911060699184305,0.7911060699184305,0.35815868712924565,0.5209749882765335
regression,california_housing,full_data,Full data,budget_50,seed_0,mlp,7200,2.2399999579647556e-05,18.74332659999891,0.7614324592371651,0.7614324592371651,0.38106685978703503,0.55674924924727
regression,abalone,histdistill,HistDistill,budget_25,seed_0,xgboost,25,0.15515469999991183,0.032499300001290976,0.3083687763565165,0.3083687763565165,1.830531816733511,2.740680621407108
regression,abalone,histdistill,HistDistill,budget_25,seed_0,lightgbm,25,0.14885940000021947,0.004586600000038743,-0.08396517501187017,-0.08396517501187017,2.4624880382775114,3.4310638354688474
regression,abalone,histdistill,HistDistill,budget_25,seed_0,mlp,25,0.15987510000013572,0.1408332999999402,0.3884314821014909,0.3884314821014909,1.731917145719939,2.5771737184592336
regression,abalone,histdistill,HistDistill,budget_50,seed_0,xgboost,50,0.14740639999945415,0.033851899999717716,0.42152066139776834,0.42152066139776834,1.8292298305547978,2.506484708367227
regression,abalone,histdistill,HistDistill,budget_50,seed_0,lightgbm,50,0.15804469999966386,0.010378100001616986,0.3023422932397829,0.3023422932397829,2.0175603892076897,2.752595093754091
regression,abalone,histdistill,HistDistill,budget_50,seed_0,mlp,50,0.14849519999916083,0.18217249999906926,0.3537003928936935,0.3537003928936935,1.8841717887723275,2.6493423352643823
regression,abalone,random,Random,budget_25,seed_0,xgboost,25,0.00023119999968912452,0.032332500000848086,0.2329105348726288,0.2329105348726288,2.018299203169973,2.8863177662175454
regression,abalone,random,Random,budget_25,seed_0,lightgbm,25,0.0002303000001120381,0.004937399999107583,-0.003498704070549419,-0.003498704070549419,2.4551196172248804,3.301258568178399
regression,abalone,random,Random,budget_25,seed_0,mlp,25,0.00018169999930250924,0.20053610000104527,0.170287908215911,0.170287908215911,2.2024000289907866,3.001821356473382
regression,abalone,random,Random,budget_50,seed_0,xgboost,50,0.00021099999867146835,0.03627719999894907,0.1932207563423758,0.1932207563423758,2.162472171076177,2.9600462142804047
regression,abalone,random,Random,budget_50,seed_0,lightgbm,50,0.00027829999999084976,0.01424580000093556,0.27522527062481406,0.27522527062481406,2.173307055734039,2.8055799850272347
regression,abalone,random,Random,budget_50,seed_0,mlp,50,0.00028560000100696925,0.267499499999758,0.27535279225938636,0.27535279225938636,2.095838110412707,2.8053331580686685
regression,abalone,herding,Herding,budget_25,seed_0,xgboost,25,0.006363500000588829,0.029881399999794667,0.2123906700459991,0.2123906700459991,1.9185254967383791,2.924667906570798
regression,abalone,herding,Herding,budget_25,seed_0,lightgbm,25,0.007729799999651732,0.0042958000012731645,-0.08396517501187017,-0.08396517501187017,2.4624880382775114,3.4310638354688474
regression,abalone,herding,Herding,budget_25,seed_0,mlp,25,0.006004699998811702,0.16181030000007013,0.34695553092807285,0.34695553092807285,1.8474407943241904,2.663130884659478
regression,abalone,herding,Herding,budget_50,seed_0,xgboost,50,0.00660040000002482,0.03871670000080485,0.3101661111723262,0.3101661111723262,1.9085287865269127,2.7371172158443087
regression,abalone,herding,Herding,budget_50,seed_0,lightgbm,50,0.009175600000162376,0.013652700001330231,0.2562944117699182,0.2562944117699182,2.068190205289149,2.841984178229044
regression,abalone,herding,Herding,budget_50,seed_0,mlp,50,0.006489500001407578,0.24936739999975543,-0.1322078198004848,-0.1322078198004848,2.410261365785553,3.506583689958371
regression,abalone,k_center,K-center,budget_25,seed_0,xgboost,25,0.0310222000007343,0.038086200000179815,-0.2793229999074822,-0.2793229999074822,2.696642245972556,3.7274449427199716
