dataset,method,budget,seed,trial,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,gamma,full_val_auc,distilled_val_auc,full_seconds,distilled_seconds
pc1,histdistill_refined,budget_50,seed_0,49,62,4,0.10797459592675196,2.1660051437099086,0.835227344981968,0.7205008179879325,0.11307399902928418,1.5662686585543018,0.9071601941747574,0.8871359223300972,0.03914239999721758,0.03128949999518227
pc1,histdistill_refined,budget_50,seed_0,50,127,2,0.10525601800498845,0.6191126968381496,0.7942882387847309,0.6584039660227446,1.427284684374744,0.585831751875989,0.8828883495145631,0.8655946601941747,0.04837820000102511,0.03679260000353679
pc1,histdistill_refined,budget_50,seed_0,51,84,3,0.0440070042139324,2.089413061263455,0.8801763660027921,0.7084196755749165,2.5803539242763867,1.5650307325815058,0.8947208737864079,0.8577063106796117,0.041777900005399715,0.03254279999964638
pc1,histdistill_refined,budget_50,seed_0,52,89,5,0.05300567985375357,5.627620518777051,0.6827899225410105,0.9978672083018618,0.14679144313404383,0.7476982888212738,0.8925970873786407,0.8489077669902912,0.03973440000117989,0.031359299995529
pc1,histdistill_refined,budget_50,seed_0,53,82,2,0.12999724740275548,1.9234974455534837,0.9868405052900645,0.7006154967056724,4.620108511419601,0.7190922378646831,0.8871359223300972,0.8419296116504854,0.03855940000357805,0.028835999997681938
pc1,histdistill_refined,budget_50,seed_0,54,131,2,0.09147723808393113,0.5436514408858765,0.8339144036896075,0.8157618158231481,0.06395597680253537,0.868364466441577,0.877123786407767,0.8822815533980582,0.043723800001316704,0.03493770000204677
pc1,histdistill_refined,budget_50,seed_0,55,94,3,0.04084267607546662,6.594096480138176,0.8594038957466756,0.7039551260299647,2.332270661899627,0.7391333803731579,0.8922936893203884,0.8435983009708738,0.03931700000248384,0.03217959999892628
pc1,histdistill_refined,budget_50,seed_0,56,78,4,0.0529261830210115,2.936674593036677,0.8886779631507621,0.7492369932120372,3.394070510259521,1.2362614993705157,0.8922936893203883,0.864381067961165,0.039905600002384745,0.03157269999792334
pc1,histdistill_refined,budget_50,seed_0,57,121,4,0.0384453285696234,1.011047083133477,0.788381968332687,0.6618554443635992,0.06600913032959665,1.325364137238128,0.8783373786407767,0.879247572815534,0.057744699995964766,0.04018759999598842
pc1,histdistill_refined,budget_50,seed_0,58,74,3,0.10361652026159394,0.6152760624818175,0.9090459374870254,0.7249625905421886,4.12634906472661,1.8130644849149973,0.8985133495145632,0.8607402912621359,0.03641139999672305,0.029964299996208865
pc1,histdistill_refined,budget_50,seed_0,59,88,4,0.05444710399567328,0.5368502377538481,0.9163896104946412,0.8469861498389228,0.07591887983543182,1.1414743738053377,0.8938106796116505,0.8774271844660194,0.051974399997561704,0.033680100001220126
pc1,histdistill_refined,budget_50,seed_0,60,98,2,0.06094244060766947,2.7378183452317506,0.9309305188363067,0.751712067718885,0.16234023238170747,0.6621873614269169,0.8795509708737865,0.8719660194174758,0.0425489999979618,0.03186680000362685
pc1,histdistill_refined,budget_50,seed_0,61,122,2,0.1572333877930682,5.74592962684553,0.8607476595634586,0.6761055984776874,0.07643554772607572,1.8641648171564758,0.8907766990291263,0.8135618932038835,0.03612310000607977,0.03324949999660021
pc1,histdistill_refined,budget_50,seed_0,62,95,2,0.033329327804957024,4.413370318294104,0.7555359907570666,0.7940439639798774,0.4005999047498424,1.40013211193784,0.880006067961165,0.8492111650485438,0.04030890000285581,0.03140010000061011
pc1,histdistill_refined,budget_50,seed_0,63,105,3,0.12424237991806805,1.9776081264711154,0.7516608657000566,0.718101910665528,2.307330463450872,0.4390159830282956,0.870752427184466,0.8625606796116505,0.042424400002346374,0.0406278000009479
pc1,histdistill_refined,budget_50,seed_0,64,150,4,0.08194894274258097,7.2249638012472035,0.6813672556532843,0.7226321479554061,1.435860727979528,0.6617989699953537,0.8651395631067961,0.8443567961165048,0.05457880000176374,0.04250000000320142
pc1,histdistill_refined,budget_50,seed_0,65,100,2,0.1464092811353037,3.799752830486144,0.7278932532895902,0.6833236064774502,3.595404510133357,1.139923901047711,0.8777305825242718,0.8440533980582524,0.05501389999699313,0.034374999995634425
pc1,histdistill_refined,budget_50,seed_0,66,131,5,0.06939633694234351,0.9483644234262317,0.6967467371496963,0.796269520644007,1.6092614945000723,0.008600381500970533,0.8592233009708737,0.845873786407767,0.0688737999953446,0.050858499998867046
pc1,histdistill_refined,budget_50,seed_0,67,65,3,0.0554824030352588,3.213276750898548,0.7182366738272556,0.9566250070893514,0.2603174203997159,1.6536159616749766,0.8762135922330097,0.8561893203883496,0.04167809999489691,0.03034499999921536
pc1,histdistill_refined,budget_50,seed_0,68,65,5,0.1434090211034795,1.0247814816125072,0.9439530209927867,0.7306775787218953,0.3796560342807794,0.3553662421716397,0.8358616504854368,0.8810679611650486,0.05331769999611424,0.04003430000011576
pc1,histdistill_refined,budget_50,seed_0,69,149,3,0.02900057667393205,7.097783968901115,0.654548814074715,0.8238086505177085,3.5174877390231236,0.26502984529816165,0.8634708737864077,0.8332827669902914,0.06386470000143163,0.04180110000015702
pc1,histdistill_refined,budget_50,seed_0,70,52,4,0.07132705942225465,4.084462558188429,0.8945081596076094,0.9387547137319522,2.801962915536355,1.1657198907892914,0.8851638349514563,0.8548240291262136,0.04463050000049407,0.028875300005893223
pc1,histdistill_refined,budget_50,seed_0,71,70,3,0.030905930728214265,0.7874559744911501,0.9549226510709438,0.7432752190763339,4.672194015868722,0.6121726860056997,0.9077669902912622,0.8486043689320388,0.04297899999801302,0.03581560000020545
pc1,histdistill_refined,budget_50,seed_0,72,81,2,0.04431637970817487,1.4525645749544047,0.6862880376364452,0.800416452554923,2.8690090128733217,0.8276397726572686,0.8783373786407767,0.8577063106796117,0.04071990000375081,0.0395213000010699
pc1,histdistill_refined,budget_50,seed_0,73,81,3,0.17956451441050977,0.9083234985373563,0.8403701302001139,0.9957147000149467,0.6188795525857146,1.1828386133175839,0.8768203883495146,0.8618021844660193,0.04718900000443682,0.043143399998371024
pc1,histdistill_refined,budget_50,seed_0,74,142,4,0.03138802867769925,3.6415233532942812,0.9692257722461183,0.9743017340026278,0.9818797888773146,0.7050225740569096,0.8640776699029126,0.8510315533980582,0.0803541999994195,0.053287599999748636
pc1,histdistill_refined,budget_50,seed_0,75,145,4,0.1613581659577715,7.529444535152255,0.7490342941723093,0.9774902945442894,2.0352360363369986,1.743674235145548,0.8413228155339806,0.8570995145631068,0.05060059999959776,0.041444499998760875
pc1,histdistill_refined,budget_50,seed_0,76,128,2,0.1717544631819967,4.0392034861239585,0.7082810823312224,0.8390422842677467,0.0880649390161158,1.449175596721241,0.8212985436893204,0.841626213592233,0.052900499998941086,0.03713279999647057
pc1,histdistill_refined,budget_50,seed_0,77,82,4,0.07829325755157014,5.237640123787624,0.9194052176644354,0.6821003741817052,2.392301946421232,1.08293133562153,0.8727245145631067,0.8376820388349515,0.04453009999997448,0.03148479999799747
pc1,histdistill_refined,budget_50,seed_0,78,65,2,0.04961215440680575,2.05163819217719,0.9505960229194312,0.9586660039408959,0.08394897979053773,0.8843089118753049,0.8731796116504855,0.8748483009708738,0.03732809999928577,0.032091000000946224
pc1,histdistill_refined,budget_50,seed_0,79,148,5,0.08210432007627551,5.354112715843623,0.8590410406697946,0.7280625599490694,0.6416783753506906,1.0303096815362551,0.8564927184466019,0.8234223300970874,0.05324029999610502,0.03596519999700831
pc1,histdistill_refined,budget_50,seed_0,80,71,5,0.050458924981152224,0.9592365124842637,0.9121002895805211,0.7968533256184607,0.5841669313043374,1.95317296966799,0.9165655339805826,0.8698422330097088,0.08175320000009378,0.0763029000008828
pc1,histdistill_refined,budget_50,seed_0,81,137,4,0.09417550345397412,6.660143740711828,0.9007031850356892,0.9841703314652903,1.244072850817474,1.1748298097031713,0.8831917475728156,0.8225121359223301,0.07076370000140741,0.04700749999756226
pc1,histdistill_refined,budget_50,seed_0,82,111,3,0.03942838524407504,2.1825420637518094,0.6706697116424015,0.7089007982620223,1.820961494572717,1.3580224901760147,0.8871359223300971,0.8686286407766991,0.059523299998545554,0.043426099997304846
pc1,histdistill_refined,budget_50,seed_0,83,101,2,0.03450061486904777,2.7727112526992816,0.7926789531406495,0.8561380608501408,0.0960824258583144,1.7249713347168918,0.8974514563106796,0.8695388349514563,0.06423309999809135,0.040938000005553477
pc1,histdistill_refined,budget_50,seed_0,84,71,3,0.05235147816000322,1.738062652931632,0.8574902396231163,0.9931815239510868,0.144736159102386,0.32477039237834027,0.8871359223300971,0.8674150485436893,0.04787000000214903,0.0415759999959846
pc1,histdistill_refined,budget_50,seed_0,85,132,2,0.11538353156777015,1.4437518529491695,0.9744383475496152,0.6732957662227728,0.742308008263716,1.5144727296048481,0.8992718446601942,0.8701456310679613,0.054961900001217145,0.0368025000061607
pc1,histdistill_refined,budget_50,seed_0,86,102,4,0.05578667605498909,4.743866832606879,0.8281863643839571,0.9672877934413937,0.16783368929419068,1.1969114571713013,0.8786407766990291,0.8426881067961165,0.054282699995383155,0.036181700001179706
pc1,histdistill_refined,budget_50,seed_0,87,71,4,0.14984862565384469,0.6475315832450632,0.932002138850127,0.8892214083399899,3.9432690538437707,1.217717210102309,0.9147451456310679,0.8646844660194175,0.04176320000260603,0.033341800000926014
pc1,histdistill_refined,budget_50,seed_0,88,64,3,0.12040832265819157,1.0994163953582412,0.6693963713127961,0.9124877763271072,3.087020363349825,1.6573583929682119,0.8892597087378641,0.8580097087378641,0.03964550000091549,0.030987300000560936
pc1,histdistill_refined,budget_50,seed_0,89,82,3,0.10619037457333066,3.6164408279455595,0.750992232622322,0.9179386615600595,6.670562796482797,0.704208528059489,0.8834951456310679,0.8483009708737863,0.04312760000175331,0.03626350000558887
pc1,histdistill_refined,budget_50,seed_0,90,115,3,0.07915908840577142,5.70110174405437,0.8629020622530403,0.9895168367949672,5.401591409752469,1.4214395766660906,0.8862257281553398,0.8276699029126214,0.04921489999833284,0.03636700000060955
pc1,histdistill_refined,budget_50,seed_0,91,51,4,0.03552967644737889,1.2871656793408601,0.9335510053929761,0.7901597210291352,0.1590868648806153,0.12624657189514576,0.9053398058252426,0.8598300970873786,0.04365920000418555,0.03312670000013895
pc1,histdistill_refined,budget_50,seed_0,92,101,2,0.07811200005478595,6.4824872930226975,0.7870324512125139,0.9263373436277744,0.0961281340526995,1.6454726425359425,0.8677184466019418,0.8285800970873786,0.04212310000002617,0.032855499994184356
pc1,histdistill_refined,budget_50,seed_0,93,97,5,0.06742198712459443,1.764305219810225,0.9678383367210432,0.7297367454119059,5.347406541957225,1.8350004306913856,0.9023058252427184,0.8706007281553397,0.04568909999943571,0.03544639999745414
pc1,histdistill_refined,budget_50,seed_0,94,51,5,0.14518855244841739,2.1479174257425275,0.8886186018141291,0.8365487716808905,0.23123657257532154,1.98127920281959,0.8971480582524273,0.862257281553398,0.037875200003327336,0.031323499999416526
pc1,histdistill_refined,budget_50,seed_0,95,135,2,0.041075512310682634,6.564028700285715,0.9833079923889875,0.7475853620244621,7.991206762961794,1.6252879154192534,0.875,0.8460254854368933,0.049351100002240855,0.03334319999703439
pc1,histdistill_refined,budget_50,seed_0,96,90,5,0.07730395424499778,1.491836310837623,0.6532343224148504,0.7779531902310284,0.33499485413247104,0.16297569391939626,0.8492111650485437,0.8789441747572815,0.05551030000060564,0.0413780000017141
pc1,histdistill_refined,budget_50,seed_0,97,150,2,0.04204695202967079,1.9689304528675744,0.9209418283455317,0.8561076743124788,0.7786034134822589,1.5931942899599119,0.8974514563106797,0.8689320388349515,0.06448350000573555,0.04822950000379933
pc1,histdistill_refined,budget_50,seed_0,98,96,5,0.05957067101587493,2.69197835206114,0.9724457026092186,0.6779336360220516,1.0991909067002659,1.5530251634354002,0.8807645631067961,0.869993932038835,0.05554649999976391,0.04090400000131922
pc1,histdistill_refined,budget_50,seed_0,99,115,3,0.10987256197287207,5.134227703775551,0.9175203880461802,0.8378824233069679,1.975007039956937,1.4186717606740364,0.8868325242718447,0.8273665048543689,0.05570869999792194,0.03367140000045765
