dataset,method,method_label,budget,seed,reg_lambda,probe_depth,sld_inf,sld_l1,sld_inf_norm,sld_l1_norm,sld_root_inf,sld_root_l1,sld_root_inf_norm,sld_root_l1_norm,sld_root_margin,sld_root_margin_satisfied,sld_root_agreement_direct,sld_rank_correlation_direct,sld_margin_satisfied_rate,sld_states,sld_depth_0_inf_norm,sld_depth_0_agreement,sld_depth_1_inf_norm,sld_depth_1_agreement,sld_depth_2_inf_norm,sld_depth_2_agreement
agaricus_lepiota,random,Random,budget_50,seed_2,1.0,2,128.02558656202515,1656.1538800583958,0.43373917971331954,0.06739839678878028,306.57719758909457,4011.6529073211536,0.38156808056922287,0.06015579148742797,75.38422812779527,0.0,0.0,0.7273046867204408,0.0,25.0,0.41804417020370616,0.0,0.33028368750682224,0.7142857142857143,0.4954825253282078,0.6153846153846154
agaricus_lepiota,random,Random,budget_50,seed_2,10.0,0,227.20419975751184,2947.830318368461,0.4171752225340467,0.06569187686186091,302.1355767239537,3900.664200400739,0.3819369469158102,0.05940873123071229,76.86271826103723,0.0,0.0,0.9518742431762364,0.0,5.0,0.4171752225340467,0.0,,,,
agaricus_lepiota,random,Random,budget_50,seed_2,10.0,1,160.6914365581873,2088.7651645660308,0.3646349589751132,0.05871578766347569,302.1355767239537,3900.664200400739,0.3819369469158102,0.05940873123071229,76.86271826103723,0.0,0.0,0.839976908262939,0.0,12.0,0.4171752225340467,0.0,0.32710619929016066,0.7142857142857143,,
agaricus_lepiota,random,Random,budget_50,seed_2,10.0,2,123.05581262738177,1559.0479746290325,0.43450246176197277,0.06828597007156055,302.1355767239537,3900.664200400739,0.3819369469158102,0.05940873123071229,76.86271826103723,0.0,0.0,0.7690708453747807,0.0,25.0,0.4171752225340467,0.0,0.32710619929016066,0.7142857142857143,0.4989955412575355,0.6153846153846154
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_0,0.1,0,7.014320496928006,174.05471210519767,0.09775342443104214,0.02342151079434545,7.083843348827266,198.66097144802131,0.06435716664792657,0.018416811638476947,55.65285586258567,1.0,1.0,0.9577638766377856,1.0,5.0,0.09775342443104214,1.0,,,,
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_0,0.1,1,6.582071303384107,169.2321683855435,0.09760728831625436,0.023968779316789857,7.083843348827266,198.66097144802131,0.06435716664792657,0.018416811638476947,55.65285586258567,1.0,1.0,0.9553691443599421,1.0,9.0,0.09775342443104214,1.0,0.09742461817276962,1.0,,
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_0,0.1,2,6.609234425969493,158.9753017472555,0.18711939166828667,0.0398953617238678,7.083843348827266,198.66097144802131,0.06435716664792657,0.018416811638476947,55.65285586258567,1.0,1.0,0.9038618991122365,0.6923076923076923,13.0,0.09775342443104214,1.0,0.09742461817276962,1.0,0.38852162421035935,0.75
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_0,1.0,0,6.715372558081116,169.91919851648595,0.09565426633615035,0.02306080676530315,6.950720825321925,197.63111213764662,0.06426146332857342,0.018456140401914452,55.16541470118885,1.0,1.0,0.9580045516563729,1.0,5.0,0.09565426633615035,1.0,,,,
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_0,1.0,1,6.334957101625319,164.62571138370075,0.09586706518532112,0.023571979830956904,6.950720825321925,197.63111213764662,0.06426146332857342,0.018456140401914452,55.16541470118885,1.0,1.0,0.9563347907597337,1.0,9.0,0.09565426633615035,1.0,0.09613306374678457,1.0,,
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_0,1.0,2,6.353940585098419,153.50456499676523,0.18540869824906675,0.039154336763709954,6.950720825321925,197.63111213764662,0.06426146332857342,0.018456140401914452,55.16541470118885,1.0,1.0,0.9007724540507532,0.6923076923076923,13.0,0.09565426633615035,1.0,0.09613306374678457,1.0,0.38687737264249433,0.75
australian,histdistill_refined,HistDistill-Refined,budget_50,seed_0,10.0,0,4.996978844738418,136.30638502499565,0.0862924368633795,0.02190504617439054,5.856244523283026,157.00472553932568,0.06352278400376858,0.01703032929781841,49.92026476725809,1.0,1.0,0.9579434378020144,1.0,5.0,0.0862924368633795,1.0,,,,
