dataset,seed,budget,method,method_label,coverage_value,coverage_ratio,coverage_proxy_upper_bound,coverage_to_proxy_upper_bound,matched_rows,seed_n
tic_tac_toe,seed_0,budget_50,histdistill_refined,HistDistill-Refined,1532.7724163754622,0.18595015920009295,1587.6629336890637,0.9654268446098575,100,0
tic_tac_toe,seed_0,budget_50,histdistill_density,HistDistill-Density,1532.7724163754622,0.18595015920009295,1587.6629336890637,0.9654268446098575,100,0
tic_tac_toe,seed_0,budget_50,herding,Herding,1532.0662579608793,0.1858644907288905,1587.6629336890637,0.9649820660617169,100,0
tic_tac_toe,seed_0,budget_50,random,Random,1529.9269624383066,0.185604959477709,1587.6629336890637,0.963634616626967,100,0
tic_tac_toe,seed_1,budget_25,histdistill_greedy,HistDistill-Greedy,802.3205294832626,0.09733814665420555,802.3205294832628,0.9999999999999997,50,1
tic_tac_toe,seed_1,budget_25,histdistill_importance,ImportanceSample,761.2298292171432,0.09235299114384668,802.3205294832628,0.9487851815376278,50,1
tic_tac_toe,seed_1,budget_25,histdistill_refined,HistDistill-Refined,766.8020266044762,0.09302901443696088,802.3205294832628,0.9557302828812538,50,1
tic_tac_toe,seed_1,budget_25,histdistill_density,HistDistill-Density,766.8020266044762,0.09302901443696088,802.3205294832628,0.9557302828812538,50,1
tic_tac_toe,seed_1,budget_25,herding,Herding,765.7589706585687,0.09290247008355056,802.3205294832628,0.9544302339512094,50,1
tic_tac_toe,seed_1,budget_25,random,Random,765.6973576002658,0.09289499513970391,802.3205294832628,0.954353440380512,50,1
tic_tac_toe,seed_1,budget_50,histdistill_greedy,HistDistill-Greedy,1588.7771404108819,0.19275167044992075,1588.7771404108812,1.0000000000000004,100,1
tic_tac_toe,seed_1,budget_50,histdistill_importance,ImportanceSample,1523.2731591171914,0.18480467681920051,1588.7771404108812,0.9587708183686797,100,1
tic_tac_toe,seed_1,budget_50,histdistill_refined,HistDistill-Refined,1532.1849008126505,0.18588585620850975,1588.7771404108812,0.9643800013489651,100,1
tic_tac_toe,seed_1,budget_50,histdistill_density,HistDistill-Density,1532.1849008126505,0.18588585620850975,1588.7771404108812,0.9643800013489651,100,1
tic_tac_toe,seed_1,budget_50,herding,Herding,1532.2685442338689,0.18589600389300995,1588.7771404108812,0.964432647764306,100,1
tic_tac_toe,seed_1,budget_50,random,Random,1532.2471946617723,0.18589341374642465,1588.7771404108812,0.9644192100255864,100,1
tic_tac_toe,seed_2,budget_25,histdistill_greedy,HistDistill-Greedy,793.499128365054,0.09686823374363884,793.499128365054,1.0,50,2
tic_tac_toe,seed_2,budget_25,histdistill_importance,ImportanceSample,759.5219267574156,0.09272038859847156,793.499128365054,0.9571805432506952,50,2
tic_tac_toe,seed_2,budget_25,histdistill_refined,HistDistill-Refined,763.0838393642863,0.09315521728402751,793.499128365054,0.9616694109501592,50,2
tic_tac_toe,seed_2,budget_25,histdistill_density,HistDistill-Density,763.0838393642863,0.09315521728402751,793.499128365054,0.9616694109501592,50,2
tic_tac_toe,seed_2,budget_25,herding,Herding,761.159605860605,0.09292031204702239,793.499128365054,0.9592444133226936,50,2
tic_tac_toe,seed_2,budget_25,random,Random,763.3211894167423,0.09318419233836404,793.499128365054,0.9619685291772265,50,2
tic_tac_toe,seed_2,budget_50,histdistill_greedy,HistDistill-Greedy,1572.2802866495776,0.19193973739013157,1572.2802866495772,1.0000000000000002,100,2
tic_tac_toe,seed_2,budget_50,histdistill_importance,ImportanceSample,1520.5284243474505,0.18562200960071332,1572.2802866495772,0.967084836754898,100,2
tic_tac_toe,seed_2,budget_50,histdistill_refined,HistDistill-Refined,1523.3443389653964,0.18596576886353108,1572.2802866495772,0.9688758117113712,100,2
tic_tac_toe,seed_2,budget_50,histdistill_density,HistDistill-Density,1523.3443389653964,0.18596576886353108,1572.2802866495772,0.9688758117113712,100,2
tic_tac_toe,seed_2,budget_50,herding,Herding,1524.2142727227497,0.18607196803065862,1572.2802866495772,0.9694291060347434,100,2
tic_tac_toe,seed_2,budget_50,random,Random,1520.689074387416,0.18564162132436368,1572.2802866495772,0.9671870132188081,100,2
