dataset,method,method_label,budget,seed,split_regret,split_regret_norm,split_regret_mean,split_regret_norm_mean,split_regret_root,split_regret_root_norm,split_regret_agreement,split_regret_weighted_agreement,split_regret_states,split_regret_depth_0_norm,split_regret_depth_0_agreement,split_regret_depth_1_norm,split_regret_depth_1_agreement,split_regret_depth_2_norm,split_regret_depth_2_agreement
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,craig_coreset,CRAIG-style,budget_50,seed_1,0.1370538090466247,0.1370538090466247,0.1370538090466247,0.1370538090466247,0.1370538090466247,0.1370538090466247,0.0,0.0,1.0,0.1370538090466247,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,craig_coreset,CRAIG-style,budget_50,seed_2,0.12394865497976804,0.12394865497976804,0.12394865497976804,0.12394865497976804,0.12394865497976804,0.12394865497976804,0.0,0.0,1.0,0.12394865497976804,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,gradmatch_coreset,GradMatch-style,budget_25,seed_0,0.18274844761754136,0.18274844761754136,0.18274844761754136,0.18274844761754136,0.18274844761754136,0.18274844761754136,0.0,0.0,1.0,0.18274844761754136,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,gradmatch_coreset,GradMatch-style,budget_25,seed_1,0.04339820515124507,0.04339820515124507,0.04339820515124507,0.04339820515124507,0.04339820515124507,0.04339820515124507,0.0,0.0,1.0,0.04339820515124507,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,gradmatch_coreset,GradMatch-style,budget_25,seed_2,0.12454463499701779,0.12454463499701779,0.12454463499701779,0.12454463499701779,0.12454463499701779,0.12454463499701779,0.0,0.0,1.0,0.12454463499701779,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,gradmatch_coreset,GradMatch-style,budget_50,seed_0,0.20738726861598505,0.20738726861598505,0.20738726861598505,0.20738726861598505,0.20738726861598505,0.20738726861598505,0.0,0.0,1.0,0.20738726861598505,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,gradmatch_coreset,GradMatch-style,budget_50,seed_1,0.07233136865446974,0.07233136865446974,0.07233136865446974,0.07233136865446974,0.07233136865446974,0.07233136865446974,0.0,0.0,1.0,0.07233136865446974,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,gradmatch_coreset,GradMatch-style,budget_50,seed_2,0.13965374985647416,0.13965374985647416,0.13965374985647416,0.13965374985647416,0.13965374985647416,0.13965374985647416,0.0,0.0,1.0,0.13965374985647416,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,grand_coreset,GraNd,budget_25,seed_0,0.23867479570764963,0.23867479570764963,0.23867479570764963,0.23867479570764963,0.23867479570764963,0.23867479570764963,0.0,0.0,1.0,0.23867479570764963,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,grand_coreset,GraNd,budget_25,seed_1,0.1254424488825516,0.1254424488825516,0.1254424488825516,0.1254424488825516,0.1254424488825516,0.1254424488825516,0.0,0.0,1.0,0.1254424488825516,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,grand_coreset,GraNd,budget_25,seed_2,0.14841884697394578,0.14841884697394578,0.14841884697394578,0.14841884697394578,0.14841884697394578,0.14841884697394578,0.0,0.0,1.0,0.14841884697394578,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,grand_coreset,GraNd,budget_50,seed_0,0.20738726861598505,0.20738726861598505,0.20738726861598505,0.20738726861598505,0.20738726861598505,0.20738726861598505,0.0,0.0,1.0,0.20738726861598505,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,grand_coreset,GraNd,budget_50,seed_1,0.12837835493760463,0.12837835493760463,0.12837835493760463,0.12837835493760463,0.12837835493760463,0.12837835493760463,0.0,0.0,1.0,0.12837835493760463,0.0,,,,
gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,grand_coreset,GraNd,budget_50,seed_2,0.13731775433145174,0.13731775433145174,0.13731775433145174,0.13731775433145174,0.13731775433145174,0.13731775433145174,0.0,0.0,1.0,0.13731775433145174,0.0,,,,
