task,dataset,method,method_label,budget,seed,learner,train_rows,select_seconds,train_seconds,primary_metric,accuracy,macro_f1,macro_auroc
multiclass,eucalyptus,full_data,Full data,budget_50,seed_0,mlp,441,1.809999957913533e-05,1.388255099998787,0.9068078541426325,0.6418918918918919,0.6194790560603416,0.9068078541426325
multiclass,letter,histdistill,HistDistill,budget_25,seed_0,xgboost,650,12.700813399998879,1.0679903000000195,0.9812089109177394,0.77125,0.771409795702675,0.9812089109177394
multiclass,letter,histdistill,HistDistill,budget_25,seed_0,lightgbm,650,13.096473399999013,7.746071400000801,0.9825718478487848,0.775,0.7742578814810099,0.9825718478487848
multiclass,letter,histdistill,HistDistill,budget_25,seed_0,mlp,650,13.496438699999999,2.3897118999993836,0.9852861639658129,0.7783333333333333,0.7779556040836281,0.9852861639658129
multiclass,letter,histdistill,HistDistill,budget_50,seed_0,xgboost,1300,19.275485500000286,1.2655515000005835,0.9888383223351487,0.8154166666666667,0.8150532846472357,0.9888383223351487
multiclass,letter,histdistill,HistDistill,budget_50,seed_0,lightgbm,1300,19.268995799999175,13.404319399998712,0.9904986630090394,0.8304166666666667,0.830207603489196,0.9904986630090394
multiclass,letter,histdistill,HistDistill,budget_50,seed_0,mlp,1300,19.150939400000425,3.9182251000001997,0.9912847372920677,0.8404166666666667,0.839595357352617,0.9912847372920677
multiclass,letter,random,Random,budget_25,seed_0,xgboost,650,0.00330029999895487,1.0387169999994512,0.9733094816336737,0.7416666666666667,0.7446049380383819,0.9733094816336737
multiclass,letter,random,Random,budget_25,seed_0,lightgbm,650,0.0023182999993878184,9.521676800000932,0.9727181223160744,0.7416666666666667,0.7436051335696459,0.9727181223160744
multiclass,letter,random,Random,budget_25,seed_0,mlp,650,0.0017172999996546423,2.2086569000002783,0.9788157783424171,0.7729166666666667,0.7756101789198807,0.9788157783424171
multiclass,letter,random,Random,budget_50,seed_0,xgboost,1300,0.0016998000010062242,1.409981799999514,0.9857470674820121,0.8,0.8013862725898834,0.9857470674820121
multiclass,letter,random,Random,budget_50,seed_0,lightgbm,1300,0.001509499999883701,16.10753779999868,0.9872503995546088,0.8066666666666666,0.8072161235473202,0.9872503995546088
multiclass,letter,random,Random,budget_50,seed_0,mlp,1300,0.0015292999996745493,3.6954830000013317,0.9894447097032703,0.83625,0.8365818849422421,0.9894447097032703
multiclass,letter,herding,Herding,budget_25,seed_0,xgboost,650,0.04134160000103293,0.8099093000000721,0.9713255328179778,0.71875,0.7205211203540774,0.9713255328179778
multiclass,letter,herding,Herding,budget_25,seed_0,lightgbm,650,0.044129899999461486,11.289225099999385,0.970402476720465,0.7141666666666666,0.7151811849780902,0.970402476720465
multiclass,letter,herding,Herding,budget_25,seed_0,mlp,650,0.04854979999981879,2.0868444000007003,0.9708694078978249,0.705,0.7062752602595853,0.9708694078978249
multiclass,letter,herding,Herding,budget_50,seed_0,xgboost,1300,0.0759420999984286,1.2874916000000667,0.9823301740936716,0.7754166666666666,0.7764623782862942,0.9823301740936716
multiclass,letter,herding,Herding,budget_50,seed_0,lightgbm,1300,0.07653940000091097,17.607554000000164,0.9829680658757661,0.7908333333333334,0.790972096953519,0.9829680658757661
multiclass,letter,herding,Herding,budget_50,seed_0,mlp,1300,0.08429119999891554,3.8704512999993312,0.9858089518836751,0.7908333333333334,0.7917764277461434,0.9858089518836751
multiclass,letter,k_center,K-center,budget_25,seed_0,xgboost,650,0.45614670000031765,0.9241742000012891,0.9858769656570403,0.7675,0.7644025914758938,0.9858769656570403
multiclass,letter,k_center,K-center,budget_25,seed_0,lightgbm,650,0.48769459999857645,15.69604629999958,0.9841468662237411,0.7616666666666667,0.758812567402599,0.9841468662237411
multiclass,letter,k_center,K-center,budget_25,seed_0,mlp,650,0.5227515000005951,2.0712665999999444,0.9923493743010352,0.8108333333333333,0.8075234681119523,0.9923493743010352
multiclass,letter,k_center,K-center,budget_50,seed_0,xgboost,1300,1.1198284000001877,1.7826975999996648,0.9936141731185254,0.8483333333333334,0.8483420913615565,0.9936141731185254
multiclass,letter,k_center,K-center,budget_50,seed_0,lightgbm,1300,1.1371747000011965,17.411943099999917,0.9954515885230195,0.8720833333333333,0.8718588543905157,0.9954515885230195
multiclass,letter,k_center,K-center,budget_50,seed_0,mlp,1300,0.9894671000001836,4.402847699999256,0.9962406299895074,0.8808333333333334,0.8803213136605057,0.9962406299895074
