dataset,dataset_label,n_train,n_test,method,method_label,budget_rows,full_train_seconds,condensed_train_seconds,select_seconds,landscape_seconds,split_regret_seconds,speedup,full_auroc,auroc,auroc_gap,split_regret
susy,SUSY,4500000,500000,random,Random,400,16.01545080001233,0.021715000009862706,0.08350100000097882,2.8155924000020605,0.0009140999900409952,737.5293940934052,0.8734480677656881,0.8386677136737576,0.03478035409193048,0.0
higgs,HIGGS,20000,500000,histdistill_refined,HD-Refined,400,0.1680122000107076,0.02930890000425279,1.3445574000070337,0.03757489999406971,0.001131199998781085,5.732463517441071,0.7949597576934221,0.6622062570538217,0.13275350063960034,0.0
higgs,HIGGS,20000,500000,histdistill_density,HD-Density,400,0.1680122000107076,0.028507399998488836,1.5845387000008486,0.03757489999406971,0.0010753999958978966,5.893634635905549,0.7949597576934221,0.6830812757872678,0.11187848190615424,0.0
higgs,HIGGS,20000,500000,herding,Herding,400,0.1680122000107076,0.022808199995779432,0.22196740000799764,0.03757489999406971,0.0008278000022983178,7.366306856384879,0.7949597576934221,0.6239957037426487,0.1709640539507734,0.8262239148053717
higgs,HIGGS,20000,500000,gradient_sampling,Gradient sampling,400,0.1680122000107076,0.028037500000209548,0.0011941999982809648,0.03757489999406971,0.0009280000085709617,5.992410165294762,0.7949597576934221,0.2684435688889138,0.5265161888045082,0.09524668720793171
higgs,HIGGS,20000,500000,random,Random,400,0.1680122000107076,0.026461200002813712,0.000782600007369183,0.03757489999406971,0.0008419999940088019,6.34937946853666,0.7949597576934221,0.660031957879571,0.13492779981385106,0.9971260803168893
higgs,HIGGS,100000,500000,histdistill_refined,HD-Refined,400,0.6624944999930449,0.02384840000013355,6.919222399999853,0.15025469999818597,0.0009563000057823956,27.779410777634343,0.8007931406571133,0.6618554459776521,0.13893769467946115,0.0
higgs,HIGGS,100000,500000,histdistill_density,HD-Density,400,0.6624944999930449,0.02853200001118239,8.176513200000045,0.15025469999818597,0.0009296000062022358,23.219350193936528,0.8007931406571133,0.6828037229899486,0.11798941766716464,0.0
higgs,HIGGS,100000,500000,herding,Herding,400,0.6624944999930449,0.021111699999892153,1.8936676000012085,0.15025469999818597,0.0006730000022798777,31.380443071682013,0.8007931406571133,0.6300464104735306,0.17074673018358266,0.936750641759554
higgs,HIGGS,100000,500000,gradient_sampling,Gradient sampling,400,0.6624944999930449,0.013442699986626394,0.004575900005875155,0.15025469999818597,0.0006679999933112413,49.28284501269345,0.8007931406571133,0.29500210479866074,0.5057910358584525,0.478113703678375
higgs,HIGGS,100000,500000,random,Random,400,0.6624944999930449,0.017665599996689707,0.0020989000040572137,0.15025469999818597,0.0008780999924056232,37.501952954736176,0.8007931406571133,0.6988860777273821,0.10190706292973117,0.09687047245977067
higgs,HIGGS,500000,500000,histdistill_refined,HD-Refined,400,2.7564611000125296,0.021550600009504706,7.799721799994586,0.5908725000044797,0.0007851999980630353,127.90646658546937,0.8019392679608831,0.5898061982438322,0.21213306971705093,0.0
higgs,HIGGS,500000,500000,histdistill_density,HD-Density,400,2.7564611000125296,0.02318329999980051,9.521546100004343,0.5908725000044797,0.0009592999995220453,118.89856491682585,0.8019392679608831,0.632073023961333,0.16986624399955008,0.0
higgs,HIGGS,500000,500000,herding,Herding,400,2.7564611000125296,0.024003499987884425,1.9471759000007296,0.5908725000044797,0.0008405999979004264,114.8357990044715,0.8019392679608831,0.4463805286763869,0.3555587392844962,0.8670559143917618
higgs,HIGGS,500000,500000,gradient_sampling,Gradient sampling,400,2.7564611000125296,0.01270190000650473,0.031108199997106567,0.5908725000044797,0.0008708999957889318,217.01171467268102,0.8019392679608831,0.3216750013972982,0.4802642665635849,0.0
higgs,HIGGS,500000,500000,random,Random,400,2.7564611000125296,0.02618659999279771,0.009642500008339994,0.5908725000044797,0.0009337999945273623,105.26227539163767,0.8019392679608831,0.7058129311421198,0.09612633681876326,0.0
