dataset,seed,state,depth,margin,best_gain,num_candidates
adult,seed_2,probe_d0,0,2.241025757919175,223.89085216332296,97
adult,seed_2,probe_d1,1,0.7140946499793017,33.35273648549892,97
adult,seed_2,probe_d2,2,4.9353341494253495,19.886519254779635,100
adult,seed_2,probe_d2,2,4.60734775399024,8.96153671596602,101
adult,seed_2,probe_d1,1,3.131726011414429,137.37487379404675,103
adult,seed_2,probe_d2,2,3.7324532909259744,112.61420939671098,100
agaricus_lepiota,seed_0,root,0,0.04599342786936411,1.8852202822953747,79
agaricus_lepiota,seed_1,root,0,0.056607433081426795,2.118733454426011,81
agaricus_lepiota,seed_2,root,0,0.03757150990723668,2.3937561565610617,84
australian,seed_0,root,0,55.16541470118885,108.16312709504288,99
australian,seed_0,probe_d0,0,55.16541470118885,108.16312709504288,107
australian,seed_0,probe_d1,1,55.16541470118885,108.16312709504288,103
australian,seed_0,probe_d0,0,46.59774748569601,92.78990459680452,111
australian,seed_0,probe_d1,1,46.59774748569601,92.78990459680452,107
australian,seed_0,probe_d0,0,26.69869933975315,53.18611418677698,106
australian,seed_0,probe_d1,1,26.69869933975315,53.18611418677698,102
australian,seed_0,probe_d2,2,9.091641215737923,29.276100975627372,101
australian,seed_0,probe_d2,2,11.231409410096244,16.40754454395899,104
australian,seed_0,probe_d0,0,14.096709343242104,28.808712098332055,100
australian,seed_0,probe_d1,1,14.096709343242104,28.808712098332055,103
australian,seed_0,probe_d2,2,4.182497169983851,15.87973505922918,106
australian,seed_0,probe_d2,2,6.015009673761501,8.667538733093139,111
australian,seed_1,root,0,55.16541470118885,108.16312709504288,110
australian,seed_1,probe_d0,0,55.16541470118885,108.16312709504288,106
australian,seed_1,probe_d1,1,55.16541470118885,108.16312709504288,100
australian,seed_1,probe_d2,2,54.359643553952644,109.08413652428324,104
australian,seed_1,probe_d0,0,47.83039566411764,92.9364236958002,110
australian,seed_1,probe_d1,1,37.32449137022747,50.029536013074775,107
australian,seed_1,probe_d2,2,22.299830710308274,30.042829904494813,103
australian,seed_1,probe_d2,2,5.367732813082027,10.413751320107409,99
australian,seed_1,probe_d1,1,4.338615174094329,7.561618926217932,104
australian,seed_1,probe_d2,2,0.840337313052224,3.7983442032859642,105
australian,seed_1,probe_d0,0,34.71538064258943,60.555410714582386,104
australian,seed_1,probe_d1,1,25.766630797154924,34.24769043199878,106
australian,seed_1,probe_d2,2,8.499311778826797,12.169719376917554,104
australian,seed_1,probe_d2,2,9.384923042689351,14.424406721392701,103
australian,seed_1,probe_d1,1,3.1203636208015197,5.0322470587667425,104
australian,seed_1,probe_d2,2,0.6275163735538918,2.5261390460166098,101
australian,seed_1,probe_d0,0,26.074241607039223,39.51229037332217,107
australian,seed_1,probe_d1,1,26.074241607039223,39.51229037332217,100
australian,seed_1,probe_d2,2,26.208849098162,40.52528154361096,106
australian,seed_2,root,0,55.16541470118885,108.16312709504288,108
australian,seed_2,probe_d0,0,55.16541470118885,108.16312709504288,110
australian,seed_2,probe_d1,1,55.16541470118885,108.16312709504288,98
australian,seed_2,probe_d2,2,20.674553029045896,59.135398015149725,102
australian,seed_2,probe_d2,2,23.79672936064501,35.08127883489964,107
australian,seed_2,probe_d0,0,47.845308718112406,92.87502105474853,106
australian,seed_2,probe_d1,1,47.845308718112406,92.87502105474853,102
australian,seed_2,probe_d0,0,30.294611125916372,55.810509609062606,106
australian,seed_2,probe_d1,1,30.294611125916372,55.810509609062606,107
australian,seed_2,probe_d0,0,20.43711060047724,33.73007795536742,102
australian,seed_2,probe_d1,1,20.43711060047724,33.73007795536742,104
bank_marketing,seed_0,root,0,14.812141201714098,729.4036512726782,103
bank_marketing,seed_0,probe_d0,0,14.812141201714098,729.4036512726782,103
bank_marketing,seed_0,probe_d1,1,0.0,167.74476789764975,106
bank_marketing,seed_0,probe_d2,2,10.046127176239565,67.60084261969848,104
bank_marketing,seed_0,probe_d2,2,153.30382811518217,310.9285740700204,106
bank_marketing,seed_0,probe_d1,1,2.55565781158964,40.73649195236635,110
bank_marketing,seed_0,probe_d2,2,1.4282037920183797,19.609957852325707,108
bank_marketing,seed_0,probe_d2,2,1.0210052047909812,11.409489502161023,106
bank_marketing,seed_0,probe_d0,0,11.886192834302733,563.6300262722309,105
bank_marketing,seed_0,probe_d1,1,10.024176298985822,557.8483462324465,107
bank_marketing,seed_0,probe_d2,2,2.949161141780678,475.85898338558115,99
bank_marketing,seed_0,probe_d2,2,30.37207414458527,193.69960945052722,101
bank_marketing,seed_0,probe_d1,1,0.7195445475945093,28.639165284183605,106
bank_marketing,seed_0,probe_d2,2,0.7792878332859843,12.354030619902312,97
bank_marketing,seed_0,probe_d2,2,1.5497718897343375,13.008353207583085,105
bank_marketing,seed_0,probe_d0,0,0.3130501583158889,296.64737197278004,109
bank_marketing,seed_0,probe_d1,1,9.714343307423604,44.63638797091778,104
bank_marketing,seed_0,probe_d2,2,0.849668375030177,30.856751337253286,98
bank_marketing,seed_0,probe_d2,2,0.5405375722434691,13.407643766547219,101
bank_marketing,seed_0,probe_d1,1,2.7052385595426642,61.69229878527065,98
bank_marketing,seed_0,probe_d2,2,2.7052385595426642,61.69229878527065,108
bank_marketing,seed_0,probe_d0,0,1.3740242744098055,170.09675197321974,106
bank_marketing,seed_0,probe_d1,1,3.829485422173235,20.80313398094107,106
bank_marketing,seed_0,probe_d2,2,2.8603680595116714,18.41010583104091,102
bank_marketing,seed_1,root,0,14.812141201714098,729.4036512726782,108
bank_marketing,seed_1,probe_d0,0,14.812141201714098,729.4036512726782,99
bank_marketing,seed_1,probe_d1,1,0.0,169.71782600321836,107
bank_marketing,seed_1,probe_d2,2,5.780874132636399,66.36734550659335,103
bank_marketing,seed_1,probe_d2,2,161.07884500510895,317.5436344131101,104
bank_marketing,seed_1,probe_d1,1,0.30097614341502776,34.54975045288927,109
bank_marketing,seed_1,probe_d2,2,2.6372765631686264,21.98533559935855,105
bank_marketing,seed_1,probe_d2,2,1.436008456525542,11.02315465879417,98
bank_marketing,seed_1,probe_d0,0,11.58997331620344,564.2494984060139,100
bank_marketing,seed_1,probe_d1,1,10.994448871793026,129.7766747702729,100
bank_marketing,seed_1,probe_d2,2,0.0,100.02318900944613,100
bank_marketing,seed_1,probe_d2,2,0.6578369287714239,26.846601168969983,97
bank_marketing,seed_1,probe_d1,1,1.2772759521914168,57.60965174115705,101
bank_marketing,seed_1,probe_d2,2,14.803475988137194,50.70916307970505,107
bank_marketing,seed_1,probe_d2,2,0.7656173476509025,10.229012000686566,101
bank_marketing,seed_1,probe_d0,0,1.2038302703650743,294.8784356915387,106
bank_marketing,seed_1,probe_d1,1,12.044659259518909,30.745785176631642,103
bank_marketing,seed_1,probe_d2,2,10.920376859499811,27.0543128523324,111
bank_marketing,seed_1,probe_d2,2,0.5809219953184037,7.415702410759179,101
bank_marketing,seed_1,probe_d1,1,0.42966063881868877,81.04966366169322,104
bank_marketing,seed_1,probe_d2,2,4.119325276715571,84.80607038274324,105
bank_marketing,seed_1,probe_d2,2,0.45396018443767616,10.174739269463771,97
bank_marketing,seed_1,probe_d0,0,1.2107523508500435,160.92502546968214,106
bank_marketing,seed_1,probe_d1,1,2.8841154879779083,19.8624779435509,103
bank_marketing,seed_1,probe_d2,2,1.985251757559709,17.682635022626997,98
bank_marketing,seed_2,root,0,14.812141201714098,729.4036512726782,103
bank_marketing,seed_2,probe_d0,0,14.812141201714098,729.4036512726782,105
bank_marketing,seed_2,probe_d1,1,0.0,167.74476789764975,99
bank_marketing,seed_2,probe_d2,2,10.046127176239565,67.60084261969848,102
bank_marketing,seed_2,probe_d2,2,153.30382811518217,310.9285740700204,107
bank_marketing,seed_2,probe_d1,1,2.55565781158964,40.73649195236635,103
bank_marketing,seed_2,probe_d2,2,0.8419331759101283,23.878082745482345,102
bank_marketing,seed_2,probe_d2,2,6.770268229781266,8.628398786236914,106
bank_marketing,seed_2,probe_d0,0,11.761157900735839,563.4312964535661,105
bank_marketing,seed_2,probe_d1,1,12.531669538722554,128.85206478804275,109
bank_marketing,seed_2,probe_d2,2,15.271933867585972,45.50132632839373,104
bank_marketing,seed_2,probe_d2,2,65.76075390030329,171.55995084199145,107
bank_marketing,seed_2,probe_d1,1,1.951961265609441,68.14083482836207,101
bank_marketing,seed_2,probe_d2,2,18.459859826536217,53.57644156205548,104
bank_marketing,seed_2,probe_d2,2,1.0484599845066782,7.739865587880615,101
bank_marketing,seed_2,probe_d0,0,2.8745243153079514,269.9136724860519,105
bank_marketing,seed_2,probe_d1,1,15.494153013315895,34.5536932570555,106
bank_marketing,seed_2,probe_d2,2,0.0736970856530661,2.462694870656179,101
bank_marketing,seed_2,probe_d2,2,13.422448927714907,35.85768184739409,101
bank_marketing,seed_2,probe_d1,1,6.416562547398627,73.76585978240632,106
bank_marketing,seed_2,probe_d2,2,6.416562547398627,73.76585978240632,106
bank_marketing,seed_2,probe_d0,0,0.29161983220473076,146.82693640097753,107
bank_marketing,seed_2,probe_d1,1,2.373120603966214,12.790156475334484,105
bank_marketing,seed_2,probe_d2,2,3.1809572370912065,12.651927459267739,107
breast_w,seed_0,root,0,0.00082330586373347,0.3189817851141368,74
breast_w,seed_1,root,0,0.04131840203069609,0.37214435695051507,76
breast_w,seed_2,root,0,0.0051848448265330305,0.3706085432880622,76
credit_approval,seed_0,root,0,0.0794816209446369,0.43943776210804153,102
credit_approval,seed_1,root,0,0.028255903941130256,0.40070377712555083,102
credit_approval,seed_2,root,0,0.03915651225114625,0.40320180501264785,106
credit_g,seed_0,root,0,0.9108990061762654,29.584792388580546,97
credit_g,seed_0,probe_d0,0,0.9108990061762654,29.584792388580546,96
credit_g,seed_0,probe_d1,1,0.46371802551118435,9.215680653391125,97
credit_g,seed_0,probe_d2,2,0.710270055507376,11.138634157839537,98
credit_g,seed_0,probe_d2,2,0.009433570477583864,3.44418298397677,95
credit_g,seed_0,probe_d1,1,1.2375212568143787,5.263543397575809,95
credit_g,seed_0,probe_d2,2,0.05939843824093316,1.1345061854851863,96
credit_g,seed_0,probe_d2,2,0.5219916033619905,4.011884424154782,93
credit_g,seed_0,probe_d0,0,0.6726745884904197,25.162218069935005,93
credit_g,seed_0,probe_d1,1,0.6726745884904197,25.162218069935005,92
credit_g,seed_0,probe_d2,2,0.6726745884904197,25.162218069935005,98
credit_g,seed_0,probe_d0,0,0.3773348765678364,14.241051300554691,93
