dataset,method,method_label,budget,seed,learner,full_auc,deployed_auc,leaf_refit_auc,total_gap,structure_error,leaf_estimate_recovery,leaf_population_l1,leaf_population_kl,train_rows,status,sld_inf_norm,sld_root_agreement_direct,full_deployed_auc,structure_ref_auc
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,gain_path_refined,Legacy gain-path refined,budget_50,seed_2,lightgbm,0.5405468750000001,0.54662109375,0.5282226562500001,-0.015644531249999982,0.002753906249999938,-0.0183984374999999,0.0397586805555555,0.0048359044605103,100,ok,3.564487640113976,0.0,0.5309765625,0.5309765625
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,herding,Herding,budget_25,seed_0,xgboost,0.5064453124999999,0.5148437499999999,0.52216796875,0.0025585937500000044,-0.004765625000000107,0.0073242187500001,0.0925989583333333,0.7650648930717097,50,ok,7.730143105805973,0.0,0.5064453124999999,0.5174023437499999
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,herding,Herding,budget_25,seed_0,lightgbm,0.5405468750000001,0.4904687499999999,0.4864843749999999,0.050078125000000195,0.05406250000000018,-0.0039843749999999,0.0493628472222222,0.0056098659785809,50,ok,7.730143105805973,0.0,0.5405468750000001,0.5405468750000001
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,herding,Herding,budget_25,seed_1,xgboost,0.5064453124999999,0.5148437499999999,0.52216796875,0.0025585937500000044,-0.004765625000000107,0.0073242187500001,0.0925989583333333,0.7650648930717097,50,ok,7.716481791432914,0.0,0.5064453124999999,0.5174023437499999
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,herding,Herding,budget_25,seed_1,lightgbm,0.5405468750000001,0.4904687499999999,0.4864843749999999,0.04839843750000006,0.05238281250000004,-0.0039843749999999,0.0493628472222222,0.0056098659785809,50,ok,7.716481791432914,0.0,0.5388671875,0.5388671875
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,herding,Herding,budget_25,seed_2,xgboost,0.5064453124999999,0.5148437499999999,0.52216796875,0.0025585937500000044,-0.004765625000000107,0.0073242187500001,0.0925989583333333,0.7650648930717097,50,ok,7.71481497391279,0.0,0.5064453124999999,0.5174023437499999
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,herding,Herding,budget_25,seed_2,lightgbm,0.5405468750000001,0.4918749999999999,0.483359375,0.03910156250000013,0.04761718750000005,-0.0085156249999999,0.0490868055555555,0.0055557351556212,50,ok,7.71481497391279,0.0,0.5309765625,0.5309765625
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,herding,Herding,budget_50,seed_0,xgboost,0.5064453124999999,0.5275,0.51013671875,-0.010097656250000031,0.007265624999999942,-0.0173632812499999,0.086921875,0.4033885369244137,100,ok,17.320272298426428,0.0,0.5064453124999999,0.5174023437499999
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,herding,Herding,budget_50,seed_0,lightgbm,0.5405468750000001,0.506015625,0.48390625,0.034531250000000124,0.05664062500000011,-0.0221093749999999,0.0631128472222222,0.0133925328759408,100,ok,17.320272298426428,0.0,0.5405468750000001,0.5405468750000001
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,herding,Herding,budget_50,seed_1,xgboost,0.5064453124999999,0.5275,0.51013671875,-0.010097656250000031,0.007265624999999942,-0.0173632812499999,0.086921875,0.4033885369244137,100,ok,17.253892251564164,0.0,0.5064453124999999,0.5174023437499999
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,herding,Herding,budget_50,seed_1,lightgbm,0.5405468750000001,0.5067187499999999,0.4759765625,0.03214843750000007,0.06289062499999998,-0.0307421874999999,0.0623767361111111,0.0129556901252229,100,ok,17.253892251564164,0.0,0.5388671875,0.5388671875
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,herding,Herding,budget_50,seed_2,xgboost,0.5064453124999999,0.5275,0.51013671875,-0.010097656250000031,0.007265624999999942,-0.0173632812499999,0.086921875,0.4033885369244137,100,ok,17.300824131334004,0.0,0.5064453124999999,0.5174023437499999
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,herding,Herding,budget_50,seed_2,lightgbm,0.5405468750000001,0.5118359375,0.47953125,0.019140625000000022,0.05144531250000001,-0.0323046874999999,0.0626128472222222,0.013199297367738,100,ok,17.300824131334004,0.0,0.5309765625,0.5309765625
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,random,Random,budget_25,seed_0,xgboost,0.5064453124999999,0.485,0.5054101562500001,0.03240234374999995,0.011992187499999862,0.02041015625,0.048859375,0.2768992186866754,50,ok,40.595931111038425,0.0,0.5064453124999999,0.5174023437499999
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,random,Random,budget_25,seed_0,lightgbm,0.5405468750000001,0.4584375,0.4786718749999999,0.0821093750000001,0.06187500000000018,0.0202343749999999,0.0202013888888888,0.001333505072629,50,ok,40.595931111038425,0.0,0.5405468750000001,0.5405468750000001
gametes_epistasis_3_way_20atts_0_2h_edm_1_1,random,Random,budget_25,seed_1,xgboost,0.5064453124999999,0.521484375,0.51208984375,-0.004082031250000062,0.005312499999999942,-0.00939453125,0.0430677083333333,0.1674373889869249,50,ok,72.04707912744986,0.0,0.5064453124999999,0.5174023437499999
