dataset,method,method_label,budget,seed,checkpoint,rho_max,rho_mean,rho_p90,rows
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_greedy,Pure greedy selector,budget_50,seed_0,1,0.1960321143269539,0.07824120771838353,0.12530259005725386,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_greedy,Pure greedy selector,budget_50,seed_0,5,0.6045074909925461,0.23123783726012334,0.4684449031949044,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_greedy,Pure greedy selector,budget_50,seed_0,10,0.8742018826305866,0.3571916052978486,0.6357818551361563,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_greedy,Pure greedy selector,budget_50,seed_0,25,1.4551260769367218,0.6315549132227898,1.1340789832174778,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_greedy,Pure greedy selector,budget_50,seed_0,50,2.220297336578369,0.794046838558279,1.465078349038959,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_greedy,Pure greedy selector,budget_50,seed_1,1,0.23796328157186508,0.06819279261864722,0.135442272759974,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_greedy,Pure greedy selector,budget_50,seed_1,5,0.7302829921245575,0.251546933571808,0.5041494712233546,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_greedy,Pure greedy selector,budget_50,seed_1,10,1.0232588052749634,0.4013724832236767,0.7711090363562111,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_greedy,Pure greedy selector,budget_50,seed_1,25,1.8025070279836655,0.6490863599069416,1.2557314947247509,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_greedy,Pure greedy selector,budget_50,seed_1,50,2.345819413661957,0.8602113775350153,1.6553735157474878,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_greedy,Pure greedy selector,budget_50,seed_2,1,0.14368985407054424,0.05887177353724837,0.10670155463740233,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_greedy,Pure greedy selector,budget_50,seed_2,5,0.6046676822006702,0.21371673146728426,0.37104780972003937,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_greedy,Pure greedy selector,budget_50,seed_2,10,0.965163704007864,0.33878651226870715,0.7038710553199052,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_greedy,Pure greedy selector,budget_50,seed_2,25,1.7940662503242493,0.6332759740576148,1.291658087074757,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_greedy,Pure greedy selector,budget_50,seed_2,50,2.559386909008026,0.9479518097359687,2.0613212078809737,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_25,seed_0,1,0.2427586391568184,0.0983767171157524,0.17607911303639412,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_25,seed_0,5,0.5711288340389729,0.2296886407956481,0.4373315654695034,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_25,seed_0,10,0.834652952849865,0.3785950334183872,0.6427966967225075,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_25,seed_0,25,1.4499974139034748,0.6198719514161348,1.1894113451242447,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_25,seed_0,50,2.159175630658865,0.8967675061430782,1.703633889555931,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_25,seed_1,1,0.19179698918014765,0.10553807083517314,0.15429520569741725,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_25,seed_1,5,0.5000739544630051,0.14364044848829507,0.2865051493048668,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_25,seed_1,10,0.7909010946750641,0.24423420559614897,0.4169350780546665,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_25,seed_1,25,1.3037643730640411,0.44883126474916935,0.9230279108509423,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_25,seed_1,50,1.675517737865448,0.6830423470586539,1.2349033400416376,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_25,seed_2,1,0.2220556940883398,0.12518920646980405,0.21352443210780622,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_25,seed_2,5,0.6355166509747505,0.25467963005416094,0.5114145694300533,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_25,seed_2,10,0.7841054648160934,0.3383763144211844,0.5978239804506302,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_25,seed_2,25,1.4158072993159294,0.6384810557961464,1.2105402879416944,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_25,seed_2,50,1.947721004486084,0.809979037605226,1.5920327287167313,50
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_50,seed_0,1,0.21758729964494705,0.1288008825504221,0.19645775202661753,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_50,seed_0,5,0.4495975375175476,0.16258735433220864,0.2759877055883408,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_50,seed_0,10,0.8517830073833466,0.20549251184798778,0.3612546384334565,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_50,seed_0,25,1.0917397141456604,0.3093992635048926,0.6559402644634248,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_50,seed_0,50,1.8253569304943085,0.4835332814184949,0.9671341061592106,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_50,seed_1,1,0.21167691051959991,0.06065360701642931,0.12892105523496866,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_50,seed_1,5,0.6970903277397156,0.1607182982156519,0.312287237495184,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_50,seed_1,10,0.9284446835517883,0.2557411432638764,0.5036292359232906,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_50,seed_1,25,1.586530864238739,0.44099699223414063,0.923556523397565,100
gametes_epistasis_2_way_20atts_0_4h_edm_1_1,histdistill_importance,ImportanceSample,budget_50,seed_1,50,2.2997671961784363,0.6489045440871268,1.3301870837807659,100
