dataset,method,budget,seed,auroc,method_label,split_regret,split_regret_norm,split_regret_mean,split_regret_norm_mean,split_regret_root,split_regret_root_norm,split_regret_agreement,split_regret_weighted_agreement,split_regret_states,split_regret_depth_0_norm,split_regret_depth_0_agreement,split_regret_depth_1_norm,split_regret_depth_1_agreement,split_regret_depth_2_norm,split_regret_depth_2_agreement
adult,gradient_sampling,budget_25,seed_1,0.22934192895721722,Gradient sampling,77.01805657508238,0.22850563593217466,67.16847280137603,0.48372059141858176,0.0,0.0,0.4,0.7055630061246486,25.0,0.0,1.0,0.3984964809892988,0.375,0.7420869114625127,0.16666666666666666
adult,gradient_sampling,budget_25,seed_2,0.22360647958203503,Gradient sampling,55.247656742443,0.2115640519100941,64.34759549648365,0.4460305177155757,0.0,0.0,0.4,0.6945167276340851,25.0,0.004793744695236162,0.8,0.4148835138649622,0.375,0.6506438423744597,0.25
adult,gradient_sampling,budget_50,seed_0,0.2062464760524422,Gradient sampling,30.480483797639177,0.16258857796865941,48.80491112087328,0.43386678956995545,0.0,0.0,0.4,0.7700729809486792,25.0,0.010690514267926188,0.8,0.45015974630854116,0.375,0.5993282664534105,0.25
adult,gradient_sampling,budget_50,seed_1,0.22256639612245044,Gradient sampling,73.34621944128472,0.20942761256544767,61.568759250948716,0.44703857279924486,0.0,0.0,0.36,0.6853123632447992,25.0,0.0,1.0,0.3560001044186369,0.375,0.6939969570526688,0.08333333333333333
adult,gradient_sampling,budget_50,seed_2,0.21610057116176754,Gradient sampling,29.24849742616783,0.15303329488293962,46.54535809706559,0.3690425121640213,0.0,0.0,0.44,0.7590355098134662,25.0,0.004793744695236162,0.8,0.3965986243919474,0.375,0.5024420904573977,0.3333333333333333
adult,gradmatch_coreset,budget_25,seed_0,0.6894375197801369,GradMatch-style,298.5551574042165,0.5806402193597492,174.1927183491067,0.6648078797845655,373.7860109186538,0.3804323623869997,0.04,0.010681309330813262,25.0,0.4328905577093818,0.0,0.5870018934738975,0.0,0.8133107548563371,0.08333333333333333
adult,gradmatch_coreset,budget_25,seed_1,0.6719056223009123,GradMatch-style,382.44259052669605,0.6075790998016635,178.43276740012868,0.6312342197091367,652.8301678574228,0.664438250070173,0.16,0.1468862753307178,25.0,0.6195976366118693,0.0,0.5051223953689497,0.375,0.7201573455597895,0.08333333333333333
adult,gradmatch_coreset,budget_25,seed_2,0.6918719313647053,GradMatch-style,233.38207260999374,0.4738699190866514,144.12840743047065,0.5622610105676885,340.1232475807601,0.3461710358337799,0.08,0.0045178403755391505,25.0,0.3834649575778817,0.0,0.45286987359429953,0.125,0.709686790629034,0.08333333333333333
adult,gradmatch_coreset,budget_50,seed_0,0.7415720028250639,GradMatch-style,296.0890767367422,0.5813602339105787,174.40867503187562,0.7084311050728236,373.7860109186538,0.3804323623869997,0.0,0.0,25.0,0.4171551718839924,0.0,0.6820347897760264,0.0,0.8473936207660345,0.0
adult,gradmatch_coreset,budget_50,seed_1,0.7376850387299858,GradMatch-style,365.8069167520439,0.6054118113300948,177.7966325978675,0.6201343859479789,535.7991841368807,0.5453263188883246,0.0,0.0,25.0,0.5556993288411185,0.0,0.6016687290567171,0.0,0.6592927643366785,0.0
adult,gradmatch_coreset,budget_50,seed_2,0.7319478176103753,GradMatch-style,363.04581350747543,0.6706265688958343,203.97230434422852,0.7083846047007542,535.7991841368807,0.5453263188883246,0.04,0.00013151326030303974,25.0,0.5780143818743247,0.0,0.654569447947588,0.0,0.7985823020472109,0.08333333333333333
adult,grand_coreset,budget_25,seed_0,0.5598591150518721,GraNd,464.87031389603345,0.7109662571191427,213.28189892263046,0.646271344936653,888.8183544668892,0.9046225820268912,0.16,0.1093005433520381,25.0,0.9262203231711783,0.0,0.49225377101807793,0.25,0.6323043199513174,0.16666666666666666
adult,grand_coreset,budget_25,seed_1,0.6196942247037451,GraNd,615.3938507073714,0.9792695250270778,287.5300187604997,0.882817495629201,982.4546988218594,0.9999238898545838,0.0,0.0,25.0,0.9994695686820656,0.0,0.8801663359731517,0.0,0.8359799049612068,0.0
adult,grand_coreset,budget_25,seed_2,0.46616322490836437,GraNd,435.08915749423056,0.73716059213508,224.2087498816396,0.6811840205519637,692.2736114573963,0.7045830441263687,0.24,0.12657194932451965,25.0,0.7267488898036872,0.0,0.5868561468896631,0.375,0.7250839074719457,0.25
adult,grand_coreset,budget_50,seed_0,0.7442766575450779,GraNd,34.302398871788355,0.18288464172195676,54.89238615367582,0.4830810112692685,0.0,0.0,0.4,0.7734107538046355,25.0,0.0,1.0,0.5188341682821525,0.375,0.6605293279562079,0.16666666666666666
adult,grand_coreset,budget_50,seed_1,0.6988779994156717,GraNd,171.4324940150754,0.33842865702083347,99.43268691108297,0.5453961848885648,219.33384117567027,0.2232338528261146,0.12,0.07914751146029238,25.0,0.15988947344383805,0.0,0.4714304433620252,0.25,0.755334475674894,0.08333333333333333
adult,grand_coreset,budget_50,seed_2,0.7338050573923605,GraNd,168.97543826922706,0.3533875363869023,107.48346914147155,0.4589369926256438,190.2839959802684,0.19366746748306204,0.12,0.06325561595565671,25.0,0.12948832478391276,0.0,0.4066624366023051,0.125,0.6310569749085911,0.16666666666666666
adult,herding,budget_25,seed_0,0.7517833997274292,Herding,310.1548103709177,0.5269003934634544,158.07432946408449,0.5776449414116361,652.8301678574228,0.664438250070173,0.0,0.0,25.0,0.3713689577920524,0.0,0.5436081190047587,0.0,0.6862844828577143,0.0
adult,herding,budget_25,seed_1,0.7517833997274292,Herding,399.43448403742224,0.6519979361187007,191.47042622030438,0.6701539536716882,652.8301678574228,0.664438250070173,0.0,0.0,25.0,0.5839346799993055,0.0,0.6167114887132455,0.0,0.741706961007476,0.0
adult,herding,budget_25,seed_2,0.7517833997274292,Herding,367.46472530695786,0.6344518173996285,192.969687144153,0.648462414943937,652.8301678574228,0.664438250070173,0.08,0.018198130796676745,25.0,0.5768416023462513,0.0,0.6253974259893303,0.125,0.6936810794960437,0.08333333333333333
adult,herding,budget_50,seed_0,0.7651190768586207,Herding,305.38767516603315,0.5115307665958787,153.46445924702533,0.5618026894153312,646.8527128547632,0.658354508942101,0.0,0.0,25.0,0.3689354613408236,0.0,0.4894806067232215,0.0,0.6903787562411158,0.0
