dataset,seed,repeat,dose_ratio,auroc,agreement,root_agreement,split_regret_norm,injected_sld,node_count,n_estimators,max_candidates,train_rows,dose0_auroc,delta_auc_vs_dose0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_0,2,1.0,0.5257421875,0.8379446640316206,0.8125,0.02539990911364791,0.24403116296005764,506,80,192,960,0.5230468749999999,0.002695312500000102
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_0,0,1.5,0.5305859374999999,0.6893787575150301,0.7,0.06146673510735265,0.4362536101110316,499,80,192,960,0.5230468749999999,0.007539062500000027
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_0,1,1.5,0.5208593749999999,0.67578125,0.7625,0.07282275426550945,0.5070917319246455,512,80,192,960,0.5230468749999999,-0.002187500000000009
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_0,2,1.5,0.5194921875,0.6731898238747553,0.725,0.0672280721385358,0.4620313758840874,511,80,192,960,0.5230468749999999,-0.0035546874999998757
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_0,0,2.0,0.5197265625,0.58,0.6125,0.10386019743400322,0.6714898202240763,500,80,192,960,0.5230468749999999,-0.0033203124999998668
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_0,1,2.0,0.5142578125,0.6349206349206349,0.6125,0.07728522915193704,0.6583998866287275,504,80,192,960,0.5230468749999999,-0.008789062499999889
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_0,2,2.0,0.5337890625000001,0.5366336633663367,0.5375,0.10132980247471969,0.6620494607401404,505,80,192,960,0.5230468749999999,0.010742187500000222
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,0,0.0,0.5230468749999999,1.0,1.0,0.0,0.0,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,1,0.0,0.5230468749999999,1.0,1.0,0.0,0.0,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,2,0.0,0.5230468749999999,1.0,1.0,0.0,0.0,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,0,0.25,0.5230468749999999,1.0,1.0,0.0,0.054144023685645803,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,1,0.25,0.5230468749999999,1.0,1.0,0.0,0.05404153192958803,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,2,0.25,0.5230468749999999,1.0,1.0,0.0,0.05396419482365648,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,0,0.49,0.5230468749999999,1.0,1.0,0.0,0.10567372826302196,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,1,0.49,0.5230468749999999,1.0,1.0,0.0,0.10600698434123745,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,2,0.49,0.5230468749999999,1.0,1.0,0.0,0.10573655526242451,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,0,0.5,0.5230468749999999,1.0,1.0,0.0,0.10836089418229208,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,1,0.5,0.5230468749999999,1.0,1.0,0.0,0.10834648206566579,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,2,0.5,0.5230468749999999,1.0,1.0,0.0,0.10806925282559784,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,0,0.75,0.52796875,0.9445544554455445,0.9625,0.008312977499858428,0.18540388723625548,505,80,192,960,0.5230468749999999,0.0049218750000000755
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,1,0.75,0.5257031249999999,0.9450980392156862,0.95,0.0075726387003406895,0.1715422779508002,510,80,192,960,0.5230468749999999,0.0026562500000000266
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,2,0.75,0.525859375,0.9309664694280079,0.9125,0.007719970254522353,0.18518495111103828,507,80,192,960,0.5230468749999999,0.0028125000000001066
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,0,1.0,0.5263671875,0.8399209486166008,0.775,0.025512082185720313,0.2542084079800998,506,80,192,960,0.5230468749999999,0.003320312500000089
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,1,1.0,0.51984375,0.8284023668639053,0.8375,0.025425793082057106,0.25317305018526,507,80,192,960,0.5230468749999999,-0.0032031249999998623
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,2,1.0,0.518515625,0.8230616302186878,0.8375,0.027156771279832355,0.26905354471945014,503,80,192,960,0.5230468749999999,-0.004531249999999876
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,0,1.5,0.5164453125,0.6844181459566075,0.5875,0.06733430161181513,0.4739009909304818,507,80,192,960,0.5230468749999999,-0.00660156249999988
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,1,1.5,0.4976171875,0.6884920634920635,0.65,0.05891421418084881,0.46872071722093345,504,80,192,960,0.5230468749999999,-0.02542968749999991
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,2,1.5,0.5269140625,0.6941176470588235,0.7125,0.0529310510692602,0.4358293130327003,510,80,192,960,0.5230468749999999,0.0038671875000000355
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,0,2.0,0.531328125,0.5968379446640316,0.675,0.08796239365260766,0.6052429229027676,506,80,192,960,0.5230468749999999,0.008281250000000129
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,1,2.0,0.5137890624999999,0.603515625,0.6375,0.11577183460748375,0.7345634569076307,512,80,192,960,0.5230468749999999,-0.009257812500000018
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_1,2,2.0,0.51609375,0.5825049701789264,0.6625,0.08811604930747416,0.5795037018300252,503,80,192,960,0.5230468749999999,-0.006953124999999893
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,0,0.0,0.5230468749999999,1.0,1.0,0.0,0.0,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,1,0.0,0.5230468749999999,1.0,1.0,0.0,0.0,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,2,0.0,0.5230468749999999,1.0,1.0,0.0,0.0,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,0,0.25,0.5230468749999999,1.0,1.0,0.0,0.0540739920829423,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,1,0.25,0.5230468749999999,1.0,1.0,0.0,0.05400689606278326,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,2,0.25,0.5230468749999999,1.0,1.0,0.0,0.05401727905522003,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,0,0.49,0.5230468749999999,1.0,1.0,0.0,0.10605319216913857,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,1,0.49,0.5230468749999999,1.0,1.0,0.0,0.10555627677553059,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,2,0.49,0.5230468749999999,1.0,1.0,0.0,0.10597384292888168,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,0,0.5,0.5230468749999999,1.0,1.0,0.0,0.1078100437368917,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,1,0.5,0.5230468749999999,1.0,1.0,0.0,0.10819692532896995,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,2,0.5,0.5230468749999999,1.0,1.0,0.0,0.10813051684886697,507,80,192,960,0.5230468749999999,0.0
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,0,0.75,0.5258203125,0.9363817097415507,0.9125,0.010150075924002907,0.1890962252020414,503,80,192,960,0.5230468749999999,0.002773437500000142
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,1,0.75,0.5121875,0.9386138613861386,0.975,0.00835932287212058,0.1877432666442701,505,80,192,960,0.5230468749999999,-0.010859374999999893
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,2,0.75,0.5210546875,0.926,0.9375,0.010823180220949958,0.19390765908401,500,80,192,960,0.5230468749999999,-0.0019921874999999645
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,0,1.0,0.51140625,0.8656126482213439,0.8125,0.02151821845760365,0.2641428418103934,506,80,192,960,0.5230468749999999,-0.01164062499999996
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,1,1.0,0.5301171874999999,0.8362919132149902,0.875,0.027803051790109383,0.26777694808789787,507,80,192,960,0.5230468749999999,0.007070312500000009
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,2,1.0,0.5176953125,0.8625498007968128,0.8375,0.01862670941966246,0.24643717863390524,502,80,192,960,0.5230468749999999,-0.005351562499999907
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,0,1.5,0.512265625,0.6791338582677166,0.75,0.06545788823657991,0.4512366858056245,508,80,192,960,0.5230468749999999,-0.010781249999999964
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,1,1.5,0.5194921874999999,0.6923076923076923,0.775,0.06569563377272475,0.47244264816653314,507,80,192,960,0.5230468749999999,-0.0035546874999999867
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,2,1.5,0.5308593750000001,0.6830708661417323,0.75,0.06342347239371383,0.4621611688623523,508,80,192,960,0.5230468749999999,0.007812500000000222
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,0,2.0,0.5108984375,0.5944333996023857,0.5875,0.09794500288943732,0.6523214533371291,503,80,192,960,0.5230468749999999,-0.012148437499999942
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,1,2.0,0.5234765625000001,0.581532416502947,0.55,0.08994626806175783,0.6167532214002142,509,80,192,960,0.5230468749999999,0.0004296875000001643
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,seed_2,2,2.0,0.5405078125,0.6,0.6875,0.09274209926707946,0.6549093753654216,505,80,192,960,0.5230468749999999,0.017460937500000107
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,0,0.0,0.563046875,1.0,1.0,0.0,0.0,430,80,192,960,0.563046875,0.0
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,1,0.0,0.563046875,1.0,1.0,0.0,0.0,430,80,192,960,0.563046875,0.0
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,2,0.0,0.563046875,1.0,1.0,0.0,0.0,430,80,192,960,0.563046875,0.0
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,0,0.25,0.563046875,1.0,1.0,0.0,0.13099701883969136,430,80,192,960,0.563046875,0.0
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,1,0.25,0.563046875,1.0,1.0,0.0,0.1297732407820761,430,80,192,960,0.563046875,0.0
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,2,0.25,0.563046875,1.0,1.0,0.0,0.1316418287717307,430,80,192,960,0.563046875,0.0
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,0,0.49,0.563046875,1.0,1.0,0.0,0.25856470898593703,430,80,192,960,0.563046875,0.0
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,1,0.49,0.563046875,1.0,1.0,0.0,0.2503515089781586,430,80,192,960,0.563046875,0.0
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,2,0.49,0.563046875,1.0,1.0,0.0,0.25823656188503147,430,80,192,960,0.563046875,0.0
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,0,0.5,0.563046875,1.0,1.0,0.0,0.2608107934246503,430,80,192,960,0.563046875,0.0
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,1,0.5,0.563046875,1.0,1.0,0.0,0.25732966390082507,430,80,192,960,0.563046875,0.0
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,seed_0,2,0.5,0.563046875,1.0,1.0,0.0,0.2629156308213511,430,80,192,960,0.563046875,0.0
