selector,dataset,budget,seed,chosen_method,best_method,top1,top3,rank_spearman,candidate_methods
split_regret,gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_25,seed_1,gradient_sampling,gradmatch_coreset,0.0,0.0,-0.10774458550443022,17
split_regret,gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_25,seed_2,el2n_coreset,histdistill_density,0.0,0.0,-0.32384152970403157,17
split_regret,gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_50,seed_0,gain_path_refined,gain_path_herding,0.0,0.0,-0.0410486181617194,17
split_regret,gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_50,seed_1,gain_herding,gradmatch_coreset,0.0,0.0,-0.17652218267235922,17
split_regret,gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_50,seed_2,el2n_coreset,gain_path_refined,0.0,0.0,-0.1039642975766551,17
split_regret,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,budget_25,seed_0,gradmatch_coreset,herding,0.0,0.0,-0.04611151317320629,17
split_regret,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,budget_25,seed_1,gradmatch_coreset,histdistill_density,0.0,0.0,0.14321260505199893,17
split_regret,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,budget_25,seed_2,gain_path_herding,herding,0.0,0.0,0.2381282847504118,17
split_regret,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,budget_50,seed_0,gain_path_refined,k_center,0.0,0.0,0.09461397090287348,17
split_regret,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,budget_50,seed_1,gradmatch_coreset,el2n_coreset,0.0,0.0,-0.47941964910670604,17
split_regret,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,budget_50,seed_2,k_center,histdistill_refined,0.0,0.0,0.10584665489659371,17
split_regret,hill_valley_with_noise,budget_25,seed_0,gain_path_refined,gain_herding,0.0,1.0,-0.33107849031608966,17
split_regret,hill_valley_with_noise,budget_25,seed_1,gradmatch_coreset,gain_path_herding,0.0,0.0,-0.2862769890680212,17
split_regret,hill_valley_with_noise,budget_25,seed_2,gradmatch_coreset,histdistill_density,0.0,0.0,0.6260781551906441,17
split_regret,hill_valley_with_noise,budget_50,seed_0,gain_path_refined,herding,0.0,0.0,0.24800495771752493,17
split_regret,hill_valley_with_noise,budget_50,seed_1,gain_path_herding,el2n_coreset,0.0,0.0,-0.09944753255009663,17
split_regret,hill_valley_with_noise,budget_50,seed_2,gradmatch_coreset,gain_path_refined,0.0,0.0,0.34542160748439343,17
split_regret,hill_valley_without_noise,budget_25,seed_0,gain_herding,gradmatch_coreset,0.0,0.0,-0.09253689821907195,17
split_regret,hill_valley_without_noise,budget_25,seed_1,gain_path_herding,histdistill_greedy,0.0,0.0,-0.11076975512434226,17
split_regret,hill_valley_without_noise,budget_25,seed_2,herding,histdistill_greedy,0.0,0.0,-0.18448871313792092,17
split_regret,hill_valley_without_noise,budget_50,seed_0,k_center,gradmatch_coreset,0.0,0.0,-0.1070427002602166,17
split_regret,hill_valley_without_noise,budget_50,seed_1,goss_coreset,histdistill_greedy,0.0,0.0,0.48481444536774726,17
split_regret,hill_valley_without_noise,budget_50,seed_2,craig_coreset,random,0.0,0.0,-0.08990209141327127,17
split_regret,kr_vs_kp,budget_25,seed_0,craig_coreset,gain_path_refined,0.0,0.0,-0.8034147135302663,17
split_regret,kr_vs_kp,budget_25,seed_1,craig_coreset,gain_path_herding,0.0,0.0,-0.5953723801137388,17
split_regret,kr_vs_kp,budget_25,seed_2,distribution_matching,histdistill_refined,0.0,0.0,-0.5862056775680855,17
split_regret,kr_vs_kp,budget_50,seed_0,craig_coreset,k_center,0.0,1.0,-0.6021512480522737,17
split_regret,kr_vs_kp,budget_50,seed_1,craig_coreset,k_center,0.0,0.0,-0.42034166646243526,17
split_regret,kr_vs_kp,budget_50,seed_2,distribution_matching,k_center,0.0,0.0,-0.22659429393601363,17
split_regret,pc1,budget_25,seed_0,gain_path_herding,gain_path_herding,1.0,1.0,-0.6515337423312885,17
split_regret,pc1,budget_25,seed_1,histdistill_refined,gain_herding,0.0,1.0,-0.6973604751661097,17
split_regret,pc1,budget_25,seed_2,histdistill_refined,gain_herding,0.0,1.0,-0.6662576687116565,17
split_regret,pc1,budget_50,seed_0,histdistill_refined,histdistill_refined,1.0,1.0,-0.879754601226994,17
split_regret,pc1,budget_50,seed_1,histdistill_refined,gain_path_refined,0.0,1.0,-0.8496011422798377,17
split_regret,pc1,budget_50,seed_2,histdistill_refined,histdistill_density,0.0,1.0,-0.6466257668711657,17
split_regret,pc3,budget_25,seed_0,craig_coreset,herding,0.0,0.0,-0.11488838374576567,17
split_regret,pc3,budget_25,seed_1,histdistill_greedy,herding,0.0,0.0,-0.12828331632236126,17
split_regret,pc3,budget_25,seed_2,goss_coreset,herding,0.0,0.0,0.06153875284685681,17
split_regret,pc3,budget_50,seed_0,histdistill_greedy,gain_path_herding,0.0,0.0,0.38336222883891524,17
split_regret,pc3,budget_50,seed_1,histdistill_refined,distribution_matching,0.0,0.0,-0.236601091576647,17
split_regret,pc3,budget_50,seed_2,mvs_coreset,histdistill_density,0.0,0.0,-0.12484892198780374,17
split_regret,pc4,budget_25,seed_0,gain_herding,k_center,0.0,0.0,-0.3039112404071802,17
split_regret,pc4,budget_25,seed_1,gain_herding,gain_herding,1.0,1.0,-0.5499927981604681,17
split_regret,pc4,budget_25,seed_2,gain_herding,gain_herding,1.0,1.0,-0.7383123171572454,17
split_regret,pc4,budget_50,seed_0,gain_herding,histdistill_refined,0.0,0.0,-0.6714967558458799,17
split_regret,pc4,budget_50,seed_1,distribution_matching,histdistill_refined,0.0,0.0,-0.7882969661316085,17
split_regret,pc4,budget_50,seed_2,craig_coreset,herding,0.0,0.0,-0.6938345074566501,17
split_regret,phoneme,budget_25,seed_0,k_center,gain_path_herding,0.0,0.0,0.6125333210025348,17
split_regret,phoneme,budget_25,seed_1,gradient_sampling,gain_path_herding,0.0,0.0,0.12567075997442448,17
split_regret,phoneme,budget_25,seed_2,gain_path_refined,gain_herding,0.0,0.0,-0.6402752954688554,17
split_regret,phoneme,budget_50,seed_0,k_center,gain_path_herding,0.0,0.0,0.6604650256778342,17
split_regret,phoneme,budget_50,seed_1,k_center,gain_herding,0.0,0.0,0.5296385608903155,17
split_regret,phoneme,budget_50,seed_2,k_center,histdistill_density,0.0,0.0,0.2414301830749452,17
split_regret,qsar_biodeg,budget_25,seed_0,el2n_coreset,histdistill_density,0.0,0.0,0.06376120901027485,17
split_regret,qsar_biodeg,budget_25,seed_1,distribution_matching,gain_path_refined,0.0,0.0,-0.40049663938755353,17
split_regret,qsar_biodeg,budget_25,seed_2,random,gain_herding,0.0,0.0,-0.2637246301054043,17
split_regret,qsar_biodeg,budget_50,seed_0,craig_coreset,gain_path_herding,0.0,0.0,-0.3385266158686014,17
split_regret,qsar_biodeg,budget_50,seed_1,gradient_sampling,gain_path_refined,0.0,0.0,0.5983147071450614,17
split_regret,qsar_biodeg,budget_50,seed_2,random,mvs_coreset,0.0,1.0,-0.10410030133824412,17
split_regret,sick,budget_25,seed_0,distribution_matching,gain_herding,0.0,1.0,-0.12230142884495178,17
split_regret,sick,budget_25,seed_1,distribution_matching,gain_herding,0.0,1.0,-0.19645877918204518,17
