dataset,budget,seed,method,auroc,sld_inf_norm,sld_root_margin_satisfied,sld_root_agreement_direct,sld_margin_satisfied_rate,sld_rank_correlation_direct,sld_inf_raw
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_10,seed_0,histdistill_density,0.50497265625,21.71235863623754,0.0,0.0,0.0,0.2132691116082711,21.71235863623754
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_10,seed_0,histdistill_refined,0.5042500000000001,21.53150375241229,0.0,0.0,0.0,0.2108926258305036,21.53150375241229
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_10,seed_0,random,0.5091406249999999,161.6406002308557,0.0,0.0,0.0,0.2851543588569466,161.6406002308557
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_10,seed_1,gain_path_refined,0.5214296875000001,21.363388442733907,0.0,0.0,0.0,0.2338467295319645,21.363388442733907
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_10,seed_1,herding,0.5244921875,47.03959063439581,0.0,0.0,0.0,0.1812824107395806,47.03959063439581
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_10,seed_1,histdistill_density,0.5225312499999999,25.073388139764592,0.0,0.0,0.0,0.260250913384856,25.073388139764592
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_10,seed_1,histdistill_refined,0.5185000000000001,21.362955028487992,0.0,0.0,0.0,0.2617961531830786,21.362955028487992
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_10,seed_1,random,0.51628515625,119.79481875767844,0.0,0.0,0.0,0.4347671549929359,119.79481875767843
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_10,seed_2,gain_path_refined,0.5429335937499999,21.502045633262124,0.0,0.0,0.0,0.2090889705257889,21.502045633262124
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_10,seed_2,herding,0.5244921875,47.35713967584826,0.0,0.0,0.0,0.2124267537208501,47.35713967584826
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_10,seed_2,histdistill_density,0.52701953125,23.235645261230832,0.0,0.0,0.0,0.1860020647931674,23.235645261230832
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_10,seed_2,histdistill_refined,0.52451171875,26.08338613204756,0.0,0.0,0.0,0.1551779359970981,26.08338613204756
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_10,seed_2,random,0.4965546874999999,83.45776076504927,0.0,0.0,0.0,0.3370810413026637,83.45776076504927
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_100,seed_0,gain_path_refined,0.68211328125,2.6921103672586746,0.0,0.0,0.0,0.632973466833767,2.6921103672586746
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_100,seed_0,herding,0.6489609375,10.03317804346668,0.0,0.0,0.0,0.4782953106782946,10.03317804346668
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_100,seed_0,histdistill_density,0.66976171875,2.0868706214657435,0.0,0.0,0.0,0.6075086079884543,2.0868706214657435
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_100,seed_0,histdistill_refined,0.67546875,2.1501410363006634,0.0,0.0,0.0,0.6334933183549645,2.1501410363006634
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_100,seed_0,random,0.6414921874999999,13.928517586654822,0.0,0.0,0.0,0.5020995526056553,13.928517586654822
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_100,seed_1,gain_path_refined,0.6684257812500001,2.693477032655687,0.0,1.0,0.0,0.5811563184183631,2.693477032655687
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_100,seed_1,herding,0.6489609375,10.200268002303831,0.0,0.0,0.0,0.3691715994529972,10.200268002303833
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_100,seed_1,histdistill_density,0.693984375,2.563813308907932,0.0,0.0,0.0,0.4802144613715622,2.5638133089079314
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_100,seed_1,histdistill_refined,0.69191015625,2.2373059861205813,0.0,1.0,0.0,0.4974602661683829,2.2373059861205813
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_100,seed_1,random,0.61046484375,7.049424392896917,0.0,0.0,0.0,0.5235273232948764,7.049424392896917
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_100,seed_2,gain_path_refined,0.620625,2.673699088694854,0.0,1.0,0.0,0.6251872618588428,2.673699088694854
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_100,seed_2,herding,0.6489609375,10.257275934998528,0.0,0.0,0.0,0.4234964013844903,10.257275934998527
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_100,seed_2,histdistill_density,0.609421875,2.7875117949548773,0.0,1.0,0.0,0.6343826760014373,2.7875117949548773
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_100,seed_2,histdistill_refined,0.6105859375,2.6237837266336403,0.0,0.0,0.0,0.6442816132839174,2.6237837266336403
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_100,seed_2,random,0.6848203125000001,12.143140168475922,0.0,0.0,0.0,0.503174702283993,12.143140168475922
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_200,seed_0,gain_path_refined,0.6797968750000001,2.6921103672586755,0.0,0.0,0.0,0.7290695480375837,2.6921103672586755
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_200,seed_0,herding,0.68680078125,2.7353867311381204,0.0,0.0,0.0,0.4762601346473737,2.7353867311381204
gametes_heterogeneity_20atts_1600_het_0_4_0_2_50_edm_2_001,budget_200,seed_0,histdistill_density,0.69417578125,2.1901240050297206,0.0,0.0,0.0,0.6582406615611648,2.1901240050297206
