method,catboost,lightgbm,mlp,random_forest,xgboost
histdistill_density,0.7278235268689813,0.7256209238566593,0.6741421913336557,0.7920596262044327,0.7926346639729059
histdistill_density_mid,,,0.6675315435672255,,0.7959472425524213
histdistill_density_strong,,,0.6675315435672255,,0.7959472425524213
histdistill_density_weak,,,0.6677485786653627,,0.7967410061847949
histdistill_density_xstrong,,,0.6655853773753482,,0.7972147163855996
histdistill_greedy,0.6288882588303621,0.6306217271971101,0.5665959557605706,0.6622042273054443,0.6543085473101174
histdistill_importance,0.6943267028657486,0.7007394986268878,0.600883920718447,0.7198458266873207,0.7360366818023976
histdistill_linear_coverage,0.5959605473182761,0.5827954432266755,0.5612203790301475,0.6437953364256336,0.5949006737322768
histdistill_no_refine,0.628618265301571,0.6300345198931601,0.5654923254301986,0.6620653740340056,0.6533624805694515
histdistill_no_weight_fit,0.6095225004433527,0.6117376344902319,0.5743314109622059,0.6582030551368245,0.627694807130913
histdistill_refined,0.7280150035161702,0.726117044212149,0.6740464769567878,0.7919934805640917,0.7921243095632065
histdistill_root_only,0.592455626741033,0.5833286869031816,0.5616085653883869,0.6517183421061044,0.5929607070208551
k_center,0.6648934356069365,0.6657991173998504,0.6267437368211322,0.7331988362109576,0.7260795469686361
math_full,0.8794067298502034,0.877926096468588,0.6271051006645677,0.8926170548269536,0.8951297185421669
math_no_anchor,0.8792135367533338,0.8775893354171678,0.6376086472554567,0.891859914926203,0.8987428847475462
math_no_hist,0.8779171507511749,0.8777451413176831,0.6391426604624737,0.8925695232159475,0.8982724320923081
math_no_newton,0.8792294551447208,0.8752101998956585,0.6486654331128687,0.8912217783069167,0.8978126823294139
math_no_probes,0.8539737013914582,0.8638758408451535,0.6423956956665722,0.8922790456940644,0.8896103689032052
math_no_soft_routing,0.8586500138801252,0.8635706982704984,0.5667084855450348,0.8928833454254086,0.8818598891525943
math_root_only,0.8714881856544581,0.8739870806108134,0.5461327267678537,0.8916357074552864,0.893779067674351
math_tuned,0.8689454066675263,0.8617044156654794,0.667879887911587,0.8883909003370415,0.8822314539328717
math_tuned_more_probes,0.8688164580871856,0.8662851598431088,0.6743396973145972,0.8869690745969434,0.8860944346510102
math_tuned_no_anchor,0.8697575607020164,0.8626806607346169,0.694211286678406,0.8885284044721751,0.8831898227498471
math_tuned_no_hist,0.8714682770940263,0.8624978549305484,0.6697347210499209,0.8883990273552049,0.8810899162445177
mvs_coreset,0.7046489945694128,0.7088553346937847,0.6085381196015316,0.7221167450656125,0.7393254155683268
random,0.7149506611176382,0.713126307437509,0.6593681810324804,0.7686723865693108,0.7658211277569825
refined_no_conf,0.8552988847882014,0.8533585079546508,0.6776626940737813,0.8898916167425392,0.8808389821837903
refined_no_gain_weight,0.8592030908678375,0.8596932962251776,0.6848220238193653,0.8895373031346504,0.8815133371753806
refined_no_grad,0.8527529152631703,0.8548253230751011,0.681950048118893,0.8895971928274968,0.8800844987383628
refined_no_hess,0.8600645995103303,0.858977075914712,0.6752692810495871,0.8878424436845779,0.8838013110735132
refined_no_path,0.8523068214241476,0.8500453846096362,0.6787594666843801,0.8859006586206775,0.878021261917019
refined_no_raw,0.8557605475642613,0.8505746271198661,0.6620571135189349,0.8904999107015034,0.883261235784992
refined_no_refine,0.8544050193835088,0.8537152379854193,0.662333578454275,0.8900600249613879,0.8837718141188665
refined_path_occupancy_only,0.8538698617514074,0.8531204069519254,0.673864827214093,0.8889776340737485,0.8811769266562217
region_adaptive_refined,0.7227814865827423,0.7246245817222986,0.6607488918967294,0.8668866437544654,0.8509034286878913
region_trajectory_refined,0.724961803364072,0.7259493024502753,0.6641982319379505,0.8657081821615429,0.8484807192793836
sketch_no_conf,0.9148685938782333,0.9149522888804711,0.7862513159333806,0.928431617161453,0.925343157704998
sketch_no_gain_weight,0.9159486521359211,0.9137379809571952,0.7985821954908768,0.9268793751645136,0.9248392472978162
sketch_no_grad,0.9223645076561257,0.9218743278423098,0.8011758025013641,0.9307254982474833,0.9311472842200796
sketch_no_hess,0.9117945864157665,0.9166566779396932,0.7874831225289629,0.9309658479375365,0.9284596842941835
sketch_no_raw,0.9168887004824933,0.9186511361271152,0.8065404199730113,0.9293532550320162,0.9291556493862758
sketch_occupancy_only,0.9143356515832298,0.9184846977499344,0.7818987235145762,0.9319066284403835,0.9290809231237926
split_margin_refined,0.7322514447081586,0.7309704172362895,0.6518866750971553,0.8776712259107252,0.8644781485549587
threshold_witness,0.6284673225680034,0.6357218748487875,0.5261394669492513,0.6829886647061136,0.6842479479917628
trajectory_refined,0.7343137785899708,0.7338623004460363,0.670222921200535,0.8755180927196745,0.8625712345128491
tree_region,0.4268773024844714,0.42413573333809534,0.4321143588023729,0.3695108008029395,0.36895315078798496
