kind,path,dataset,method,budget,seed,backend,gain_rank_correlation,root_agreement,root_gain_margin,root_margin_satisfied,root_sld_inf,root_sld_inf_norm,root_sld_l1,root_sld_l1_norm,sld_depth_0_agreement,sld_depth_0_inf_norm,sld_depth_1_agreement,sld_depth_1_inf_norm,sld_depth_2_agreement,sld_depth_2_inf_norm,sld_inf,sld_inf_norm,sld_l1,sld_l1_norm,sld_margin_satisfied_rate,sld_rank_correlation_direct,sld_root_agreement_direct,sld_root_inf,sld_root_inf_norm,sld_root_l1,sld_root_l1_norm,sld_root_margin,sld_root_margin_satisfied,sld_states,top5_overlap,train_seconds
split_fidelity,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001\histdistill_density\budget_10\seed_4\split_fidelity.json,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,histdistill_density,budget_10,seed_4,xgboost,0.20293048956780976,0.0,0.6600953715371016,0.0,3.2322366103881333,1.0000920451513595,18.557922573239566,0.10073753752933405,0.0,9.451131637242707,0.2,15.042231758320625,0.14285714285714285,15.024800306336891,27.335775178142583,13.3906128895397,198.33701444505846,1.7059233942839616,0.0,0.3143856709091152,0.0,19.136665787487097,5.9211096004781165,128.3798916450289,0.6968815664341541,0.6600953715371016,0.0,17.0,0.0,0.014877899999191868
split_fidelity,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001\histdistill_density\budget_100\seed_0\split_fidelity.json,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,histdistill_density,budget_100,seed_0,xgboost,0.5450208902194296,0.0,0.13173532369286556,0.0,0.21523420551749686,0.21523420551749686,1.083238109138775,0.019004177353311842,0.0,2.559183368688943,,,,,2.559183368688943,2.559183368688943,17.16366610782559,0.3011169492600981,0.0,0.7014836990492482,0.0,2.559183368688943,2.559183368688943,17.16366610782559,0.3011169492600981,0.13173532369286556,0.0,1.0,0.4,0.02030949999971199
split_fidelity,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001\histdistill_density\budget_100\seed_1\split_fidelity.json,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,histdistill_density,budget_100,seed_1,xgboost,0.7034575780504654,0.0,0.006067171188492287,0.0,0.1071263177003106,0.1071263177003106,1.1109537039728652,0.019490415859173073,0.0,4.321896198779887,,,,,4.321896198779887,4.321896198779887,22.8481620357433,0.40084494799549647,0.0,0.6829292364378063,0.0,4.321896198779887,4.321896198779887,22.8481620357433,0.40084494799549647,0.006067171188492287,0.0,1.0,0.4,0.028458499999942433
split_fidelity,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001\histdistill_density\budget_100\seed_2\split_fidelity.json,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,histdistill_density,budget_100,seed_2,xgboost,0.6349639767082278,0.0,0.008835013977496642,0.0,0.07749644332556813,0.07749644332556813,0.7070076201685711,0.012403642459097738,0.0,2.9314338481677185,,,,,2.9314338481677185,2.9314338481677185,19.47112877845555,0.34159875049922017,0.0,0.7032601901503438,0.0,2.9314338481677185,2.9314338481677185,19.47112877845555,0.34159875049922017,0.008835013977496642,0.0,1.0,0.4,0.025938400000086403
split_fidelity,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001\histdistill_density\budget_100\seed_3\split_fidelity.json,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,histdistill_density,budget_100,seed_3,xgboost,0.5465970816202546,0.0,0.6600953715371016,0.0,3.2224170365777085,0.9970537534548234,18.477232327847187,0.10029952855546392,0.8,0.4485500225339297,0.14285714285714285,1.4390582700355146,0.1,2.0171208679124124,3.3322360784719085,1.4766984855473806,24.933083416609065,0.1978956611229618,0.0,0.621064528907413,1.0,0.9456380809904985,0.2925915508014836,8.726585287049286,0.04737031903154462,0.6600953715371016,0.0,22.0,0.4,0.0191093000012188
split_fidelity,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001\histdistill_density\budget_100\seed_4\split_fidelity.json,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,histdistill_density,budget_100,seed_4,xgboost,0.6836418636618017,0.0,0.6600953715371016,0.0,3.215432471912839,0.9948926469511312,18.392107462002762,0.09983744723500149,0.6,0.4980384334139479,0.2,1.6533598400752183,0.0,2.4012560166137624,3.3987865103712185,1.6215166755142454,24.280872618273808,0.20115177831443812,0.0,0.6521452916687395,1.0,1.1835971482663576,0.3662188865879088,13.085093263663016,0.07102950605171021,0.6600953715371016,0.0,17.0,0.2,0.02630440000029921
split_fidelity,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001\histdistill_density\budget_200\seed_0\split_fidelity.json,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,histdistill_density,budget_200,seed_0,xgboost,0.6910879363095042,1.0,0.13173532369286556,0.0,0.10112260532671194,0.10112260532671194,0.8597086677829685,0.015082608206718745,0.0,2.0563598602534916,,,,,2.0563598602534916,2.0563598602534916,12.90639589291548,0.22642799812132422,0.0,0.7681350133236832,0.0,2.0563598602534916,2.0563598602534916,12.90639589291548,0.22642799812132422,0.13173532369286556,0.0,1.0,0.4,0.02779839999948308
split_fidelity,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001\histdistill_density\budget_200\seed_1\split_fidelity.json,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,histdistill_density,budget_200,seed_1,xgboost,0.6691120834292857,0.0,0.006067171188492287,0.0,0.10609571973429274,0.10609571973429274,1.0258271338410285,0.01799696726036892,0.0,2.446215975827885,,,,,2.446215975827885,2.446215975827885,16.53400949680127,0.2900703420491451,0.0,0.6251603776688489,0.0,2.446215975827885,2.446215975827885,16.53400949680127,0.2900703420491451,0.006067171188492287,0.0,1.0,0.4,0.031520399999863
split_fidelity,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001\histdistill_density\budget_200\seed_2\split_fidelity.json,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,histdistill_density,budget_200,seed_2,xgboost,0.6391749185774912,1.0,0.008835013977496642,0.0,0.08316158281560862,0.08316158281560862,0.8707290696183269,0.015275948589795208,0.0,1.9971788889670599,,,,,1.9971788889670599,1.9971788889670599,13.635268481551773,0.23921523651845214,0.0,0.6292397276046978,0.0,1.9971788889670599,1.9971788889670599,13.635268481551773,0.23921523651845214,0.008835013977496642,0.0,1.0,0.4,0.031042700000398327
split_fidelity,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001\histdistill_density\budget_200\seed_3\split_fidelity.json,gametes_heterogeneity_20atts_1600_het_0_4_0_2_75_edm_2_001,histdistill_density,budget_200,seed_3,xgboost,0.5791608730240662,0.0,0.6600953715371016,0.0,3.2009690228625716,0.990417485604918,18.319899009802036,0.09944547978095063,0.8,0.24088634702908446,0.42857142857142855,0.6163163076154227,0.4,0.9373401768738361,1.4208794729987424,0.6769112571450792,12.237222073330322,0.09993708000053782,0.0,0.7763239981629834,1.0,0.4939630481712367,0.15283798020450307,5.048679071350982,0.027405626649028562,0.6600953715371016,0.0,22.0,0.2,0.028670300000158022
