dataset,method,budget,distill_train_rows,downstream_train_seconds,auroc_mean
agaricus_lepiota,gaindistill,budget_50,100.0,0.2633469266666604,0.4158171527142479
agaricus_lepiota,gaindistill_hybrid,budget_10,20.0,0.26425021333319215,0.7773756147930763
agaricus_lepiota,gaindistill_hybrid,budget_100,200.0,0.49481977333331695,0.9776624427476307
agaricus_lepiota,gaindistill_hybrid,budget_25,50.0,0.2861756666664102,0.9462099963064611
agaricus_lepiota,gaindistill_hybrid,budget_50,100.0,0.37908418666641713,0.9905644673504242
agaricus_lepiota,gaindistill_path_hybrid,budget_10,20.0,0.30454956666653743,0.7753172468139452
agaricus_lepiota,gaindistill_path_hybrid,budget_100,200.0,0.498208940000283,0.9839717016546451
agaricus_lepiota,gaindistill_path_hybrid,budget_25,50.0,0.5180084266665896,0.9370889679930196
agaricus_lepiota,gaindistill_path_hybrid,budget_50,100.0,0.46341052666696975,0.9916622636059608
agaricus_lepiota,goss_coreset,budget_25,50.0,0.16414221333301005,0.8982200060988681
agaricus_lepiota,goss_coreset,budget_50,100.0,0.18555541333432,0.9803139910650577
agaricus_lepiota,gradient_sampling,budget_10,20.0,0.4166748933332807,0.3520933408613091
agaricus_lepiota,gradient_sampling,budget_100,200.0,0.7422500466668377,0.27203427443094846
agaricus_lepiota,gradient_sampling,budget_25,50.0,0.241614806666621,0.2009770769111548
agaricus_lepiota,gradient_sampling,budget_50,100.0,0.3920968733332605,0.20027389553625252
agaricus_lepiota,gradmatch_coreset,budget_25,50.0,0.15996565999957965,0.90707795782522
agaricus_lepiota,gradmatch_coreset,budget_50,100.0,0.1728534266667945,0.9631407962947865
agaricus_lepiota,grand_coreset,budget_25,50.0,0.1494540800000929,0.8610573686101525
agaricus_lepiota,grand_coreset,budget_50,100.0,0.204142840000956,0.9870665249635929
agaricus_lepiota,herding,budget_10,20.0,0.2638332959997933,0.7618286338837411
agaricus_lepiota,herding,budget_100,200.0,0.38724388799986625,0.9865115380318771
agaricus_lepiota,herding,budget_200,400.0,0.5598715599985735,0.997720774495862
agaricus_lepiota,herding,budget_25,50.0,0.23415244800155052,0.923715086244637
agaricus_lepiota,herding,budget_50,100.0,0.31981145599922456,0.9835507187304693
agaricus_lepiota,histdistill_density,budget_10,20.0,0.20406143600135693,0.7723444411232786
agaricus_lepiota,histdistill_density,budget_100,200.0,0.3851985080000304,0.9984175550785155
agaricus_lepiota,histdistill_density,budget_200,400.0,0.5411581520017353,0.9992627615795464
agaricus_lepiota,histdistill_density,budget_25,50.0,0.23090559999771357,0.9420803480581748
agaricus_lepiota,histdistill_density,budget_50,100.0,0.2654273960016144,0.9918360612181432
agaricus_lepiota,histdistill_density_mid,budget_25,50.0,0.12288226666684447,0.9745252745748657
agaricus_lepiota,histdistill_density_mid,budget_50,100.0,0.19375231666648082,0.9876496663234796
agaricus_lepiota,histdistill_density_strong,budget_25,50.0,0.13880426666658727,0.9745252745748657
agaricus_lepiota,histdistill_density_strong,budget_50,100.0,0.21765046666647928,0.9876496663234796
agaricus_lepiota,histdistill_density_weak,budget_25,50.0,0.15947099999993952,0.974194290211518
agaricus_lepiota,histdistill_density_weak,budget_50,100.0,0.24155249999982212,0.9871767776036681
agaricus_lepiota,histdistill_density_xstrong,budget_25,50.0,0.16707256666677495,0.974525903583538
agaricus_lepiota,histdistill_density_xstrong,budget_50,100.0,0.20486926666671934,0.9876231221575097
agaricus_lepiota,histdistill_greedy,budget_25,50.0,0.19651802666679336,0.5723295562620581
agaricus_lepiota,histdistill_greedy,budget_50,100.0,0.5359477266708078,0.4631983128477789
agaricus_lepiota,histdistill_importance,budget_25,50.0,0.40307110666957063,0.8100422995751927
agaricus_lepiota,histdistill_importance,budget_50,100.0,0.44001008000341246,0.9876893441905262
agaricus_lepiota,histdistill_linear_coverage,budget_25,50.0,0.219268633335984,0.5733576080360135
agaricus_lepiota,histdistill_linear_coverage,budget_50,100.0,0.2607827400051368,0.6370949058348857
agaricus_lepiota,histdistill_no_refine,budget_25,50.0,0.12936866666035104,0.5723295562620581
agaricus_lepiota,histdistill_no_refine,budget_50,100.0,0.15051471333329877,0.4631983128477789
