dataset,method,budget,root_agreement_mean,top5_overlap_mean,gain_rank_correlation_mean
agaricus_lepiota,gain_weighted_coreset,budget_50,0.3333333333333333,0.4000000000000001,0.5405667654079296
agaricus_lepiota,gaindistill,budget_10,0.3333333333333333,0.20000000000000004,0.14225976141107946
agaricus_lepiota,gaindistill,budget_100,0.0,0.20000000000000004,0.1478431271307352
agaricus_lepiota,gaindistill,budget_25,0.3333333333333333,0.20000000000000004,0.05143311893265526
agaricus_lepiota,gaindistill,budget_50,0.0,0.20000000000000004,0.16553480355553535
agaricus_lepiota,gaindistill_hybrid,budget_10,0.6666666666666666,0.3333333333333333,0.3266192066448827
agaricus_lepiota,gaindistill_hybrid,budget_100,0.3333333333333333,0.3333333333333333,0.5135573221728348
agaricus_lepiota,gaindistill_hybrid,budget_25,0.0,0.4666666666666666,0.3792712456409038
agaricus_lepiota,gaindistill_hybrid,budget_50,0.3333333333333333,0.4000000000000001,0.5405667654079296
agaricus_lepiota,gaindistill_path_hybrid,budget_10,0.3333333333333333,0.20000000000000004,0.3335440058148896
agaricus_lepiota,gaindistill_path_hybrid,budget_100,0.6666666666666666,0.4000000000000001,0.5858738843100965
agaricus_lepiota,gaindistill_path_hybrid,budget_25,0.0,0.4666666666666666,0.43666023311498486
agaricus_lepiota,gaindistill_path_hybrid,budget_50,0.0,0.4666666666666666,0.5185597825647544
agaricus_lepiota,goss_coreset,budget_25,0.6666666666666666,0.39999999999999997,0.4152922067529227
agaricus_lepiota,goss_coreset,budget_50,1.0,0.26666666666666666,0.5033576958951401
agaricus_lepiota,gradient_sampling,budget_10,0.0,0.0,0.14344708902115047
agaricus_lepiota,gradient_sampling,budget_100,0.0,0.20000000000000004,0.3684888122298786
agaricus_lepiota,gradient_sampling,budget_25,0.0,0.0,0.1731195698089751
agaricus_lepiota,gradient_sampling,budget_50,0.0,0.13333333333333333,0.31233079984072426
agaricus_lepiota,gradmatch_coreset,budget_25,0.0,0.06666666666666667,0.3250613655522577
agaricus_lepiota,gradmatch_coreset,budget_50,0.3333333333333333,0.19999999999999998,0.38102346944304905
agaricus_lepiota,grand_coreset,budget_25,0.3333333333333333,0.20000000000000004,0.4060663192715981
agaricus_lepiota,grand_coreset,budget_50,0.6666666666666666,0.6,0.5102944257087577
agaricus_lepiota,herding,budget_10,0.0,0.4,0.40445125302420026
agaricus_lepiota,herding,budget_100,0.6,0.28,0.48327105683347193
agaricus_lepiota,herding,budget_200,0.6,0.24000000000000005,0.4697833262404399
agaricus_lepiota,herding,budget_25,0.0,0.2,0.4376559861449
