dataset,method,budget,learner,auroc_mean,auroc_std,accuracy_mean,train_seconds_mean
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,random,budget_25,mlp,0.48498437499999997,0.03779691617789199,0.4875,0.36146401999976663
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,random,budget_25,random_forest,0.49596875,0.03844587430212109,0.489375,0.7165816600001562
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,random,budget_25,xgboost,0.47767187499999997,0.02440175627344298,0.49812500000000004,0.13281367999770738
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,random,budget_50,catboost,0.49623437499999995,0.03395440938234538,0.495625,1.674450639999486
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,random,budget_50,lightgbm,0.5120625,0.04429886769382578,0.5112500000000001,0.18003720000051543
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,random,budget_50,mlp,0.49195312499999994,0.007364291417776541,0.49874999999999997,0.3694246800012479
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,random,budget_50,random_forest,0.48343749999999996,0.011206334461717194,0.48875,0.8241062200038869
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,random,budget_50,xgboost,0.5090703125,0.02919422642313566,0.5025000000000001,0.1723415599997679
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,tree_region,budget_10,catboost,0.5,0.0,0.5,1.76660893333307
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,tree_region,budget_10,lightgbm,0.5,0.0,0.5,0.017249666666733294
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,tree_region,budget_10,mlp,0.5080859375,0.010125931308441753,0.5041666666666667,0.2490096999999878
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,tree_region,budget_10,random_forest,0.5366471354166666,0.018551627351817843,0.5260416666666666,0.7607433000002857
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,tree_region,budget_10,xgboost,0.5661197916666666,0.013663855534929577,0.5583333333333333,0.10255373333317645
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,tree_region,budget_100,catboost,0.5336458333333334,0.018602624479695008,0.5270833333333333,6.043609033333269
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,tree_region,budget_100,lightgbm,0.5343619791666666,0.03342029925331297,0.521875,0.48473506666626537
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,tree_region,budget_100,mlp,0.5406380208333333,0.02820800288207329,0.5343749999999999,0.6634461000000252
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,tree_region,budget_100,random_forest,0.5096744791666666,0.007502551174715964,0.5166666666666667,0.9457028333332952
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,tree_region,budget_100,xgboost,0.5402864583333334,0.03160659177893442,0.5375,0.22030583333344111
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,tree_region,budget_25,catboost,0.5294791666666666,0.036227311674555215,0.5166666666666667,2.3260190333333717
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,tree_region,budget_25,lightgbm,0.5275390624999999,0.03340599786504477,0.5197916666666667,0.04931330000029751
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,tree_region,budget_25,mlp,0.5438671875,0.01427765100986068,0.53125,0.5786104333334757
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,tree_region,budget_25,random_forest,0.5377669270833333,0.030644278135241006,0.5343749999999999,0.8570516333335642
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,tree_region,budget_25,xgboost,0.5355729166666666,0.04798071431446491,0.5229166666666667,0.15086323333374216
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,tree_region,budget_50,catboost,0.5140104166666667,0.011556449888132888,0.5208333333333334,3.0219143000000863
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,tree_region,budget_50,lightgbm,0.5304427083333333,0.008772322020212355,0.5333333333333333,0.2037878333333841
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,tree_region,budget_50,mlp,0.5359375,0.011396145460095541,0.5333333333333333,0.37742763333305146
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,tree_region,budget_50,random_forest,0.5109049479166666,0.02903924045434665,0.4895833333333333,0.8944178666667236
gametes_epistasis_2_way_1000atts_0_4h_edm_1_edm_1_1,tree_region,budget_50,xgboost,0.549453125,0.03792099700904706,0.5416666666666666,0.187582166666895
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,craig_coreset,budget_25,catboost,0.49201822916666665,0.036332416021217236,0.4875,0.2886711666675789
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,craig_coreset,budget_25,lightgbm,0.5040104166666667,0.025460093768781954,0.49583333333333335,0.015638199998647906
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,craig_coreset,budget_25,mlp,0.4875781249999999,0.005112712738162492,0.49062500000000003,0.29297753333473037
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,craig_coreset,budget_25,random_forest,0.4824869791666666,0.013846669092400067,0.4822916666666666,0.5951120333387129
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,craig_coreset,budget_25,xgboost,0.5113020833333334,0.04435743100523423,0.5010416666666667,0.03294420000020182
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,craig_coreset,budget_50,catboost,0.4689583333333333,0.049342174322068846,0.48125,0.17429489999873718
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,craig_coreset,budget_50,lightgbm,0.4737434895833334,0.012562106656168415,0.4739583333333333,0.017896166665498942
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,craig_coreset,budget_50,mlp,0.4781380208333334,0.0054627943761259195,0.4947916666666667,0.4058898333338827
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,craig_coreset,budget_50,random_forest,0.4763411458333333,0.03841656039561845,0.4791666666666667,0.4958039999983157
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,craig_coreset,budget_50,xgboost,0.4612630208333333,0.026618172738834395,0.4760416666666667,0.02467863333489125
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,distribution_matching,budget_10,catboost,0.5,0.0,0.5,0.4466128999999152
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,distribution_matching,budget_10,lightgbm,0.5,0.0,0.5,0.009447533333210837
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,distribution_matching,budget_10,mlp,0.4947395833333333,0.01522992139095086,0.48020833333333335,0.22825453333340798
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,distribution_matching,budget_10,random_forest,0.48789062499999997,0.01914194032470407,0.4770833333333333,0.6961900333332475
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,distribution_matching,budget_10,xgboost,0.47232421875,0.019733600229743808,0.4760416666666667,0.03302990000035303
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,distribution_matching,budget_100,catboost,0.49578125,0.019868149062455907,0.5052083333333334,2.3436365999999302
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,distribution_matching,budget_100,lightgbm,0.4965234375,0.01835538520477375,0.4802083333333333,0.033464833333709976
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,distribution_matching,budget_100,mlp,0.5043815104166667,0.019383231434618446,0.49583333333333335,0.9021821999998186
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,distribution_matching,budget_100,random_forest,0.4742317708333333,0.01970738289969544,0.4770833333333333,0.6489662999999078
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,distribution_matching,budget_100,xgboost,0.48373697916666664,0.03262956663791081,0.4739583333333333,0.034094533333094056
gametes_epistasis_2_way_20atts_0_1h_edm_1_1,distribution_matching,budget_25,catboost,0.49432942708333333,0.008790480209733024,0.484375,0.5810841666664904
