method,learner,rank
mvs_coreset,random_forest,23.076923076923077
mvs_coreset,xgboost,26.826923076923077
random,catboost,12.946153846153846
random,lightgbm,13.015384615384615
random,mlp,13.292307692307693
random,random_forest,13.580769230769231
random,xgboost,14.86923076923077
refined_no_conf,catboost,13.9375
refined_no_conf,lightgbm,14.5625
refined_no_conf,mlp,20.46875
refined_no_conf,random_forest,13.25
refined_no_conf,xgboost,17.625
refined_no_gain_weight,catboost,14.0
refined_no_gain_weight,lightgbm,12.6875
refined_no_gain_weight,mlp,16.5625
refined_no_gain_weight,random_forest,13.75
refined_no_gain_weight,xgboost,18.8125
refined_no_grad,catboost,18.0
refined_no_grad,lightgbm,15.4375
refined_no_grad,mlp,20.6875
refined_no_grad,random_forest,14.25
refined_no_grad,xgboost,18.4375
refined_no_hess,catboost,13.09375
refined_no_hess,lightgbm,15.375
refined_no_hess,mlp,25.8125
refined_no_hess,random_forest,17.25
refined_no_hess,xgboost,19.5625
refined_no_path,catboost,15.875
refined_no_path,lightgbm,19.90625
refined_no_path,mlp,22.3125
refined_no_path,random_forest,18.21875
refined_no_path,xgboost,21.84375
refined_no_raw,catboost,17.0
refined_no_raw,lightgbm,19.78125
refined_no_raw,mlp,29.0625
refined_no_raw,random_forest,12.78125
refined_no_raw,xgboost,19.15625
refined_no_refine,catboost,17.625
refined_no_refine,lightgbm,17.5
refined_no_refine,mlp,27.5
refined_no_refine,random_forest,14.0
refined_no_refine,xgboost,15.59375
refined_path_occupancy_only,catboost,16.8125
refined_path_occupancy_only,lightgbm,18.25
refined_path_occupancy_only,mlp,24.0
refined_path_occupancy_only,random_forest,15.375
refined_path_occupancy_only,xgboost,21.75
region_adaptive_refined,catboost,22.875
region_adaptive_refined,lightgbm,22.708333333333332
region_adaptive_refined,mlp,19.916666666666668
region_adaptive_refined,random_forest,22.0
region_adaptive_refined,xgboost,26.916666666666668
region_trajectory_refined,catboost,21.375
region_trajectory_refined,lightgbm,21.833333333333332
region_trajectory_refined,mlp,17.583333333333332
region_trajectory_refined,random_forest,21.8125
region_trajectory_refined,xgboost,25.604166666666668
sketch_no_conf,catboost,19.6
sketch_no_conf,lightgbm,19.0
sketch_no_conf,mlp,24.1
sketch_no_conf,random_forest,28.1
sketch_no_conf,xgboost,23.3
sketch_no_gain_weight,catboost,17.8
sketch_no_gain_weight,lightgbm,21.8
sketch_no_gain_weight,mlp,21.1
sketch_no_gain_weight,random_forest,31.9
sketch_no_gain_weight,xgboost,23.3
sketch_no_grad,catboost,8.2
sketch_no_grad,lightgbm,10.6
sketch_no_grad,mlp,19.8
sketch_no_grad,random_forest,18.4
sketch_no_grad,xgboost,14.6
sketch_no_hess,catboost,26.6
sketch_no_hess,lightgbm,21.6
sketch_no_hess,mlp,28.2
sketch_no_hess,random_forest,17.6
sketch_no_hess,xgboost,23.8
sketch_no_raw,catboost,17.6
sketch_no_raw,lightgbm,19.0
sketch_no_raw,mlp,14.6
sketch_no_raw,random_forest,16.6
sketch_no_raw,xgboost,19.5
sketch_occupancy_only,catboost,20.4
sketch_occupancy_only,lightgbm,14.0
sketch_occupancy_only,mlp,32.4
sketch_occupancy_only,random_forest,20.3
sketch_occupancy_only,xgboost,20.6
split_margin_refined,catboost,18.041666666666668
split_margin_refined,lightgbm,18.270833333333332
split_margin_refined,mlp,22.666666666666668
split_margin_refined,random_forest,15.208333333333334
split_margin_refined,xgboost,19.3125
threshold_witness,catboost,30.125
threshold_witness,lightgbm,30.083333333333332
threshold_witness,mlp,37.166666666666664
threshold_witness,random_forest,32.0
threshold_witness,xgboost,34.333333333333336
trajectory_refined,catboost,16.625
trajectory_refined,lightgbm,16.416666666666668
trajectory_refined,mlp,17.104166666666668
trajectory_refined,random_forest,14.375
trajectory_refined,xgboost,16.083333333333332
tree_region,catboost,22.134615384615383
tree_region,lightgbm,21.826923076923077
tree_region,mlp,24.317307692307693
tree_region,random_forest,23.778846153846153
tree_region,xgboost,25.83653846153846
